School Name,District Name,City,County,District Type,District Size,School Type,Grades Served,SAT Reading Average Score,SAT Math Average Score,SAT Reading Total Students Level 1 %,SAT Reading Total Students Level 2 %,SAT Reading Total Students Level 3 %,SAT Reading Total Students Level 4 %,SAT Math Total Students Level 1 %,SAT Math Total Students Level 2 %,SAT Math Total Students Level 3 %,SAT Math Total Students Level 4 %,SAT Reading Total Male Students Level 1 %,SAT Reading Total Male Students Level 2 %,SAT Reading Total Male Students Level 3 %,SAT Reading Total Male Students Level 4 %,Tests Taken,# Students SAT ELA Participation,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
Heritage High School,Heritage CUSD 8,Broadlands,Champaign,UNIT,SMALL,HIGH SCHOOL,12-Sep,483.9,462.9,21.4,53.6,17.9,7.1,50,25,25,0,23.1,46.2,23.1,7.7,28,28,Illinois,39.9069639,-87.9933394,206 East Diller Street,61816,Champaign County,Broadlands,17019,"206 East Diller Street, Broadlands, Illinois, 61816",10800,17019010800,2022,10800,Champaign County,Illinois,357,9,192,121,35,2746,23,85,854,677,371,476,260,2.5,53.8,33.9,9.8,0.8,3.1,31.1,24.7,13.5,17.3,9.5,1585,93533,114990,4165,94,2.3,4071,97.7,3977,95.5,9,0.2,4,0.1,2,0,0,0,0,0,79,1.9,462.9,483.9
Urbana High School,Urbana SD 116,Urbana,Champaign,UNIT,LARGE,HIGH SCHOOL,12-Sep,464.1,434.7,42.7,32.7,15.7,8.9,62.8,18.2,15.4,3.6,42.9,29.3,19.5,8.3,249,250,Illinois,40.104182,-88.2078193,1002 South Race Street,61801,Champaign County,Urbana,17019,"1002 South Race Street, Urbana, Illinois, 61801",5800,17019005800,2022,5800,Champaign County,Illinois,1551,64,186,936,365,2110,0,13,57,171,82,444,1343,4.1,12,60.3,23.5,0,0.6,2.7,8.1,3.9,21,63.6,1615,60750,105337,4047,465,11.5,3582,88.5,2832,70,197,4.9,0,0,340,8.4,0,0,18,0.4,195,4.8,434.7,464.1
Rantoul Twp High School,Rantoul Township HSD 193,Rantoul,Champaign,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,12-Sep,423.9,403.5,56.9,32.8,8.2,2.1,77.4,17.4,4.6,0.5,64.9,23.4,10.6,1.1,195,195,Illinois,40.3089562,-88.1497242,200 South Sheldon Street,61866,Champaign County,Rantoul,17019,"200 South Sheldon Street, Rantoul, Illinois, 61866",10204,17019010204,2022,10204,Champaign County,Illinois,490,88,207,195,0,3061,105,220,1251,781,340,209,155,18,42.2,39.8,0,3.4,7.2,40.9,25.5,11.1,6.8,5.1,1928,49167,61305,4663,1138,24.4,3525,75.6,2541,54.5,641,13.7,7,0.2,35,0.8,0,0,0,0,301,6.5,403.5,423.9
St Joseph-Ogden High School,St Joseph Ogden CHSD 305,Saint Joseph,Champaign,HIGH SCHOOL,SMALL,HIGH SCHOOL,12-Sep,515.3,523.8,14.4,53.2,18.9,13.5,22.5,30.6,40.5,6.3,20.4,51.9,18.5,9.3,111,111,Illinois,40.1144598,-88.0425008,301 North Main Street,61873,Champaign County,Saint Joseph,17019,"301 North Main Street, Saint Joseph, Illinois, 61873",10701,17019010701,2022,10701,Champaign County,Illinois,262,95,41,89,37,2621,0,2,652,606,415,574,372,36.3,15.6,34,14.1,0,0.1,24.9,23.1,15.8,21.9,14.2,1532,100054,106328,3969,76,1.9,3893,98.1,3738,94.2,2,0.1,6,0.2,60,1.5,0,0,0,0,87,2.2,523.8,515.3
GCMS High School,Gibson City-Melvin-Sibley CUSD 5,Gibson City,Ford,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,499.3,488.3,25.7,40,27.1,7.1,34.3,27.1,34.3,4.3,29.7,45.9,16.2,8.1,70,70,Illinois,40.4747702,-88.3744647,815 North Church Street,60936,Ford County,Gibson City,17053,"815 North Church Street, Gibson City, Illinois, 60936",962000,17053962000,2022,962000,Ford County,Illinois,295,82,100,51,62,2630,98,233,1014,596,232,240,217,27.8,33.9,17.3,21,3.7,8.9,38.6,22.7,8.8,9.1,8.3,1676,51566,70809,3678,224,6.1,3454,93.9,3196,86.9,40,1.1,0,0,0,0,0,0,0,0,218,5.9,488.3,499.3
Paxton-Buckley-Loda High School,Paxton-Buckley-Loda CUD 10,Paxton,Ford,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,469.3,461.6,34,44,18,4,47,24,27,2,44.6,39.3,14.3,1.8,101,101,Illinois,40.460897,-88.108417,700 West Orleans Street,60957,Ford County,Paxton,17053,"700 West Orleans Street, Paxton, Illinois, 60957",961800,17053961800,2022,961800,Ford County,Illinois,264,60,140,64,0,3129,37,168,1003,987,306,401,227,22.7,53,24.2,0,1.2,5.4,32.1,31.5,9.8,12.8,7.3,1833,58348,72561,4389,215,4.9,4174,95.1,3995,91,13,0.3,9,0.2,62,1.4,0,0,0,0,95,2.2,461.6,469.3
Marshall High School,Marshall CUSD 2C,Marshall,Clark,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,509.3,468.7,26.1,37,18.5,18.5,47.8,27.2,19.6,5.4,27.1,35.4,18.8,18.8,92,92,Illinois,39.3969783,-87.7001647,806 North 6th Street,62441,Clark County,Marshall,17023,"806 North 6th Street, Marshall, Illinois, 62441",60200,17023060200,2022,60200,Clark County,Illinois,418,89,164,154,11,2983,75,58,1228,565,412,459,186,21.3,39.2,36.8,2.6,2.5,1.9,41.2,18.9,13.8,15.4,6.2,1837,64911,77150,4210,25,0.6,4185,99.4,4079,96.9,23,0.5,0,0,2,0,0,0,0,0,81,1.9,468.7,509.3
Martinsville Jr-Sr High School,Martinsville CUSD 3C,Martinsville,Clark,UNIT,SMALL,HIGH SCHOOL,12-Jul,469.3,455.3,30,43.3,26.7,0,50,40,10,0,50,28.6,21.4,0,30,30,Illinois,39.3329002,-87.8871729,255 West Cumberland Street,62442,Clark County,Martinsville,17023,"255 West Cumberland Street, Martinsville, Illinois, 62442",60300,17023060300,2022,60300,Clark County,Illinois,356,30,110,151,65,3503,95,265,1290,667,530,466,190,8.4,30.9,42.4,18.3,2.7,7.6,36.8,19,15.1,13.3,5.4,2226,51550,68261,5074,130,2.6,4944,97.4,4814,94.9,63,1.2,3,0.1,21,0.4,0,0,0,0,43,0.8,455.3,469.3
Casey-Westfield Jr/Sr HS,Casey-Westfield CUSD 4C,Casey,Clark,UNIT,MEDIUM,HIGH SCHOOL,12-Jul,487.2,473.3,21.7,53.3,20,5,33.3,45,21.7,0,20.7,62.1,17.2,0,60,60,Illinois,39.3001022,-87.9878768,401 East Main Street,62420,Clark County,Casey,17023,"401 East Main Street, Casey, Illinois, 62420",60300,17023060300,2022,60300,Clark County,Illinois,356,30,110,151,65,3503,95,265,1290,667,530,466,190,8.4,30.9,42.4,18.3,2.7,7.6,36.8,19,15.1,13.3,5.4,2226,51550,68261,5074,130,2.6,4944,97.4,4814,94.9,63,1.2,3,0.1,21,0.4,0,0,0,0,43,0.8,473.3,487.2
Charleston High School,Charleston CUSD 1,Charleston,Coles,UNIT,LARGE,HIGH SCHOOL,12-Sep,497.9,463.8,23.7,39.7,26.9,9.6,47.4,28.8,19.2,4.5,29.6,42.3,21.1,7,156,156,Illinois,39.485302,-88.1645073,1615 Lincoln Avenue,61920,Coles County,Charleston,17029,"1615 Lincoln Avenue, Charleston, Illinois, 61920",701,17029000701,2022,701,Coles County,Illinois,340,6,149,92,93,1826,16,60,280,438,116,524,392,1.8,43.8,27.1,27.4,0.9,3.3,15.3,24,6.4,28.7,21.5,1283,77047,92533,2429,28,1.2,2401,98.8,2174,89.5,77,3.2,0,0,73,3,0,0,51,2.1,26,1.1,463.8,497.9
Mattoon High School,Mattoon CUSD 2,Mattoon,Coles,UNIT,LARGE,HIGH SCHOOL,12-Sep,458.1,431.7,40.1,42.9,15.8,1.2,59.5,28.3,11.7,0.4,42.9,40.6,15.8,0.8,247,247,Illinois,39.4745412,-88.3868799,2521 Walnut Avenue,61938,Coles County,Mattoon,17029,"2521 Walnut Avenue, Mattoon, Illinois, 61938",1200,17029001200,2022,1200,Coles County,Illinois,300,21,102,107,70,2179,25,162,794,450,323,247,178,7,34,35.7,23.3,1.1,7.4,36.4,20.7,14.8,11.3,8.2,1321,56515,68398,3058,20,0.7,3038,99.3,2948,96.4,32,1,0,0,0,0,0,0,0,0,58,1.9,431.7,458.1
Oakland High School,Oakland CUSD 5,Oakland,Coles,UNIT,SMALL,HIGH SCHOOL,12-Sep,442,424,40,53.3,6.7,0,60,33.3,6.7,0,,,,,15,15,Illinois,39.6581103,-88.0214501,310 North Teeter Street,61943,Coles County,Oakland,17029,"310 North Teeter Street, Oakland, Illinois, 61943",100,17029000100,2022,100,Coles County,Illinois,125,19,63,35,8,1841,46,96,718,468,193,253,67,15.2,50.4,28,6.4,2.5,5.2,39,25.4,10.5,13.7,3.6,1156,55375,68837,2567,38,1.5,2529,98.5,2487,96.9,8,0.3,0,0,0,0,0,0,0,0,34,1.3,424,442
Neoga Jr/Sr High School,Neoga CUSD 3,Neoga,Cumberland,UNIT,MEDIUM,HIGH SCHOOL,12-Jun,457.4,433.2,39.5,55.3,2.6,2.6,57.9,34.2,7.9,0,40,55,0,5,38,38,Illinois,39.3195975,-88.4419366,790 East 7th Street,62447,Cumberland County,Neoga,17035,"790 East 7th Street, Neoga, Illinois, 62447",972600,17035972600,2022,972600,Cumberland County,Illinois,268,24,78,135,31,2977,38,44,1023,685,518,466,203,9,29.1,50.4,11.6,1.3,1.5,34.4,23,17.4,15.7,6.8,1614,82115,93403,4114,18,0.4,4096,99.6,3997,97.2,0,0,0,0,0,0,0,0,0,0,99,2.4,433.2,457.4
Cumberland High School,Cumberland CUSD 77,Toledo,Cumberland,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,479.2,455.9,31.6,44.7,19.7,3.9,50,27.6,19.7,2.6,36.6,34.1,22,7.3,76,76,Illinois,39.2573204,-88.193901,1496 Illinois 121,62428,Cumberland County,Greenup,17035,"1496 Illinois 121, Greenup, Illinois, 62428",972500,17035972500,2022,972500,Cumberland County,Illinois,229,25,69,135,0,2355,101,173,989,470,300,174,148,10.9,30.1,59,0,4.3,7.3,42,20,12.7,7.4,6.3,1311,71569,90120,3415,157,4.6,3258,95.4,3177,93,12,0.4,0,0,0,0,0,0,0,0,69,2,455.9,479.2
Tuscola High School,Tuscola CUSD 301,Tuscola,Douglas,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,485.7,467.8,25.4,43.3,26.9,4.5,43.3,29.9,23.9,3,26.3,44.7,21.1,7.9,67,67,Illinois,39.7956964,-88.274153,500 South Prairie Street,61953,Douglas County,Tuscola,17041,"500 South Prairie Street, Tuscola, Illinois, 61953",952200,17041952200,2022,952200,Douglas County,Illinois,439,33,51,313,42,3208,27,99,985,816,554,452,275,7.5,11.6,71.3,9.6,0.8,3.1,30.7,25.4,17.3,14.1,8.6,2114,63056,82430,4657,129,2.8,4528,97.2,4164,89.4,106,2.3,0,0,76,1.6,0,0,0,0,182,3.9,467.8,485.7
Villa Grove High School,Villa Grove CUSD 302,Villa Grove,Douglas,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,457.8,441.9,37.5,50,6.3,6.3,59.4,21.9,18.8,0,36.8,47.4,10.5,5.3,32,32,Illinois,39.8686019,-88.1615292,400 North Sycamore Street,61956,Douglas County,Villa Grove,17041,"400 North Sycamore Street, Villa Grove, Illinois, 61956",952100,17041952100,2022,952100,Douglas County,Illinois,297,82,75,119,21,2910,58,175,998,625,304,612,138,27.6,25.3,40.1,7.1,2,6,34.3,21.5,10.4,21,4.7,1684,67500,77272,4000,35,0.9,3965,99.1,3910,97.8,13,0.3,9,0.2,12,0.3,0,0,0,0,21,0.5,441.9,457.8
Arthur-Lovington-Atwood-Hammond High School,Arthur CUSD 305,Arthur,Douglas,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,493.3,466.7,24.5,42.6,25.5,7.4,47.9,28.7,20.2,3.2,37.7,37.7,20.8,3.8,94,94,Illinois,39.806384,-88.4648503,222 West Magnolia Street,61913,Piatt County,Atwood,17147,"222 West Magnolia Street, Atwood, Illinois, 61913",954700,17147954700,2022,954700,Piatt County,Illinois,239,24,170,45,0,2109,13,122,944,492,181,248,109,10,71.1,18.8,0,0.6,5.8,44.8,23.3,8.6,11.8,5.2,1224,66985,76897,2967,23,0.8,2944,99.2,2873,96.8,40,1.3,0,0,6,0.2,0,0,0,0,25,0.8,466.7,493.3
Arcola High School,Arcola CUSD 306,Arcola,Douglas,UNIT,MEDIUM,HIGH SCHOOL,12-Jul,475.6,458.1,35.6,35.6,23.7,5.1,52.5,28.8,16.9,1.7,50,28.6,17.9,3.6,59,59,Illinois,39.6830188,-88.3166355,351 West Washington Street,61910,Douglas County,Arcola,17041,"351 West Washington Street, Arcola, Illinois, 61910",952400,17041952400,2022,952400,Douglas County,Illinois,340,91,114,124,11,2287,311,199,859,349,192,205,172,26.8,33.5,36.5,3.2,13.6,8.7,37.6,15.3,8.4,9,7.5,1148,70147,76666,3710,1235,33.3,2475,66.7,2357,63.5,75,2,9,0.2,8,0.2,0,0,11,0.3,15,0.4,458.1,475.6
Shiloh High School,Shiloh CUSD 1,Hume,Edgar,UNIT,SMALL,HIGH SCHOOL,12-Sep,441,418.7,50,36.7,10,3.3,70,20,10,0,50,43.8,6.3,0,30,30,Illinois,39.756527,-87.8942451,,N/A,Edgar County,N/A,17045,,70200,17045070200,2022,70200,Edgar County,Illinois,88,2,49,25,12,1303,47,71,564,249,184,132,56,2.3,55.7,28.4,13.6,3.6,5.4,43.3,19.1,14.1,10.1,4.3,783,58450,72839,1760,52,3,1708,97,1684,95.7,0,0,0,0,0,0,0,0,0,0,24,1.4,418.7,441
Kansas High School,Kansas CUSD 3,Kansas,Edgar,UNIT,SMALL,HIGH SCHOOL,12-Jul,439.1,429.1,45.5,36.4,18.2,0,63.6,27.3,9.1,0,,,,,11,11,Illinois,39.5504716,-87.9405347,310 South Front Street,61933,Edgar County,Kansas,17045,"310 South Front Street, Kansas, Illinois, 61933",70500,17045070500,2022,70500,Edgar County,Illinois,173,11,67,60,35,2519,56,170,945,451,399,371,127,6.4,38.7,34.7,20.2,2.2,6.7,37.5,17.9,15.8,14.7,5,1486,72569,83683,3380,38,1.1,3342,98.9,3282,97.1,15,0.4,0,0,22,0.7,0,0,0,0,23,0.7,429.1,439.1
Chrisman High School,Edgar County CUD 6,Chrisman,Edgar,UNIT,SMALL,HIGH SCHOOL,12-Sep,467.7,439.2,34.6,46.2,19.2,0,46.2,46.2,7.7,0,45.5,45.5,9.1,0,26,26,Illinois,39.8098983,-87.6738204,23231 Illinois 1,61924,Edgar County,Chrisman,17045,"23231 Illinois 1, Chrisman, Illinois, 61924",70100,17045070100,2022,70100,Edgar County,Illinois,135,12,49,40,34,1819,48,82,559,442,249,333,106,8.9,36.3,29.6,25.2,2.6,4.5,30.7,24.3,13.7,18.3,5.8,965,71188,84194,2567,0,0,2567,100,2498,97.3,8,0.3,6,0.2,26,1,0,0,0,0,29,1.1,439.2,467.7
Paris Cooperative High School,Paris Cooperative High School,Paris,Edgar,HIGH SCHOOL,SMALL,HIGH SCHOOL,12-Sep,474.7,459.6,31,44.2,21.2,3.5,49.6,27.4,21.2,1.8,38,40,18,4,113,113,Illinois,39.6450685,-87.7020821,14040 East 1200th Road,61944,Edgar County,Paris,17045,"14040 East 1200th Road, Paris, Illinois, 61944",70300,17045070300,2022,70300,Edgar County,Illinois,178,9,46,106,17,2874,139,150,1345,642,165,356,77,5.1,25.8,59.6,9.6,4.8,5.2,46.8,22.3,5.7,12.4,2.7,1795,48350,64286,3737,0,0,3737,100,3652,97.7,26,0.7,0,0,0,0,2,0.1,0,0,57,1.5,459.6,474.7
Sullivan High School,Sullivan CUSD 300,Sullivan,Moultrie,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,482,444.9,25.6,47.6,20.7,6.1,59.3,24.7,14.8,1.2,28.2,48.7,17.9,5.1,81,82,Illinois,39.6062461,-88.6083,725 North Main Street,61951,Moultrie County,Sullivan,17139,"725 North Main Street, Sullivan, Illinois, 61951",977200,17139977200,2022,977200,Moultrie County,Illinois,247,30,128,67,22,2929,37,126,1097,782,310,338,239,12.1,51.8,27.1,8.9,1.3,4.3,37.5,26.7,10.6,11.5,8.2,1745,63321,71607,4221,52,1.2,4169,98.8,4012,95,93,2.2,0,0,0,0,0,0,0,0,64,1.5,444.9,482
Okaw Valley High School,Okaw Valley CUSD 302,Bethany,Moultrie,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,451.8,441.8,36.8,50,13.2,0,60.5,28.9,10.5,0,52.9,47.1,0,0,38,38,Illinois,39.6406801,-88.7417966,709 South Saint John Street,61914,Moultrie County,Bethany,17139,"709 South Saint John Street, Bethany, Illinois, 61914",977100,17139977100,2022,977100,Moultrie County,Illinois,211,58,43,81,29,2012,47,51,551,427,266,481,189,27.5,20.4,38.4,13.7,2.3,2.5,27.4,21.2,13.2,23.9,9.4,1227,78507,101908,2982,25,0.8,2957,99.2,2914,97.7,0,0,0,0,0,0,0,0,0,0,43,1.4,441.8,451.8
Cowden-Herrick Jr/Sr High School,Cowden-Herrick CUSD 3A,Cowden,Shelby,UNIT,SMALL,HIGH SCHOOL,PK - 12,441.5,418.5,46.2,46.2,7.7,0,65.4,23.1,11.5,0,55,40,5,0,26,26,Illinois,39.2533622,-88.9222277,,N/A,Shelby County,N/A,17173,,959600,17173959600,2022,959600,Shelby County,Illinois,181,44,33,79,25,2283,17,134,1210,309,214,302,97,24.3,18.2,43.6,13.8,0.7,5.9,53,13.5,9.4,13.2,4.2,1222,76641,85670,3018,45,1.5,2973,98.5,2877,95.3,5,0.2,0,0,46,1.5,0,0,0,0,45,1.5,418.5,441.5
Shelbyville High School,Shelbyville CUSD 4,Shelbyville,Shelby,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,484.6,474.5,28.1,40.4,28.1,3.4,47.2,21.3,29.2,2.2,37.2,39.5,20.9,2.3,89,89,Illinois,39.413757,-88.8045411,1001 West North 6th Street,62565,Shelby County,Shelbyville,17173,"1001 West North 6th Street, Shelbyville, Illinois, 62565",959300,17173959300,2022,959300,Shelby County,Illinois,373,3,164,171,35,3428,103,170,1361,802,404,364,224,0.8,44,45.8,9.4,3,5,39.7,23.4,11.8,10.6,6.5,2240,55247,64022,4679,32,0.7,4647,99.3,4524,96.7,12,0.3,11,0.2,9,0.2,0,0,0,0,91,1.9,474.5,484.6
Stewardson-Strasburg High School,Stewardson-Strasburg CUD 5A,Strasburg,Shelby,UNIT,SMALL,HIGH SCHOOL,12-Sep,462.2,474.1,29.6,51.9,18.5,0,44.4,22.2,33.3,0,35.7,57.1,7.1,0,27,27,Illinois,39.3019645,-88.6181679,2806 600 North,62465,Shelby County,Strasburg,17173,"2806 600 North, Strasburg, Illinois, 62465",959500,17173959500,2022,959500,Shelby County,Illinois,202,27,60,115,0,2615,33,91,1198,467,368,357,101,13.4,29.7,56.9,0,1.3,3.5,45.8,17.9,14.1,13.7,3.9,1419,65995,82739,3564,7,0.2,3557,99.8,3541,99.4,0,0,0,0,5,0.1,0,0,0,0,11,0.3,474.1,462.2
Central A & M High School,Central A & M CUD 21,Moweaqua,Shelby,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,469.1,425.4,28.6,50,16.1,5.4,64.3,28.6,7.1,0,35.5,48.4,9.7,6.5,56,56,Illinois,39.6316906,-89.0170657,229 East Pine Street,62550,Shelby County,Moweaqua,17173,"229 East Pine Street, Moweaqua, Illinois, 62550",959100,17173959100,2022,959100,Shelby County,Illinois,256,50,66,113,27,2365,30,113,955,562,257,350,98,19.5,25.8,44.1,10.5,1.3,4.8,40.4,23.8,10.9,14.8,4.1,1366,69103,81243,3483,81,2.3,3402,97.7,3298,94.7,40,1.1,19,0.5,12,0.3,0,0,1,0,32,0.9,425.4,469.1
Clay City High School,Clay City CUSD 10,Clay City,Clay,UNIT,SMALL,HIGH SCHOOL,12-Sep,470,433.8,30.8,46.2,23.1,0,53.8,30.8,15.4,0,,,,,13,13,Illinois,38.6838586,-88.3514104,607 Walnut Street Southeast,62824,Clay County,Clay City,17025,"607 Walnut Street Southeast, Clay City, Illinois, 62824",972200,17025972200,2022,972200,Clay County,Illinois,246,13,96,121,16,1906,47,125,663,411,321,310,29,5.3,39,49.2,6.5,2.5,6.6,34.8,21.6,16.8,16.3,1.5,1118,71310,113895,3072,4,0.1,3068,99.9,2892,94.1,11,0.4,3,0.1,2,0.1,0,0,23,0.7,137,4.5,433.8,470
North Clay Community High School,North Clay CUSD 25,Louisville,Clay,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,431.5,416.7,58.7,28.3,13,0,69.6,21.7,8.7,0,72,20,8,0,46,46,Illinois,38.7667577,-88.5100074,953 Kinmundy Road,62858,Clay County,Louisville,17025,"953 Kinmundy Road, Louisville, Illinois, 62858",972000,17025972000,2022,972000,Clay County,Illinois,109,30,49,30,0,2058,154,164,801,508,222,148,61,27.5,45,27.5,0,7.5,8,38.9,24.7,10.8,7.2,3,1144,47500,62825,2862,17,0.6,2845,99.4,2772,96.9,35,1.2,0,0,1,0,0,0,0,0,37,1.3,416.7,431.5
Flora High School,Flora CUSD 35,Flora,Clay,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,458.9,414.9,36,46.1,16.9,1.1,71.9,24.7,3.4,0,43.6,49.1,7.3,0,89,89,Illinois,38.663165,-88.482466,600 South Locust Street,62839,Clay County,Flora,17025,"600 South Locust Street, Flora, Illinois, 62839",972100,17025972100,2022,972100,Clay County,Illinois,452,64,66,297,25,3643,188,241,1344,705,563,263,339,14.2,14.6,65.7,5.5,5.2,6.6,36.9,19.4,15.5,7.2,9.3,2278,51241,66199,4961,3,0.1,4958,99.9,4649,93.7,5,0.1,45,0.9,39,0.8,0,0,0,0,220,4.4,414.9,458.9
Hutsonville High School,Hutsonville CUSD 1,Hutsonville,Crawford,UNIT,SMALL,HIGH SCHOOL,12-Sep,491.8,425.5,9.1,68.2,22.7,0,72.7,22.7,4.5,0,,,,,22,22,Illinois,39.1074859,-87.6657271,500 West Clover Street,62433,Crawford County,Hutsonville,17033,"500 West Clover Street, Hutsonville, Illinois, 62433",880100,17033880100,2022,880100,Crawford County,Illinois,235,30,139,61,5,1816,39,83,583,277,355,237,242,12.8,59.1,26,2.1,2.1,4.6,32.1,15.3,19.5,13.1,13.3,1068,71489,106435,2462,33,1.3,2429,98.7,2299,93.4,8,0.3,0,0,59,2.4,0,0,16,0.6,47,1.9,425.5,491.8
Robinson High School,Robinson CUSD 2,Robinson,Crawford,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,469.1,453.6,40.6,37.5,10.4,11.5,61.5,13.5,18.8,6.3,50.9,28.1,8.8,12.3,96,96,Illinois,39.0186286,-87.7397281,2000 North Cross Street,62454,Crawford County,Robinson,17033,"2000 North Cross Street, Robinson, Illinois, 62454",880300,17033880300,2022,880300,Crawford County,Illinois,184,6,54,83,41,2363,65,101,458,392,405,644,298,3.3,29.3,45.1,22.3,2.8,4.3,19.4,16.6,17.1,27.3,12.6,1457,69861,83177,3074,109,3.5,2965,96.5,2902,94.4,4,0.1,2,0.1,3,0.1,0,0,6,0.2,48,1.6,453.6,469.1
Palestine High School,Palestine CUSD 3,Palestine,Crawford,UNIT,SMALL,HIGH SCHOOL,12-Sep,487.5,466.9,18.8,56.3,25,0,43.8,37.5,18.8,0,,,,,16,16,Illinois,39.0032905,-87.6124193,102 North Main Street,62451,Crawford County,Palestine,17033,"102 North Main Street, Palestine, Illinois, 62451",880500,17033880500,2022,880500,Crawford County,Illinois,291,99,66,109,17,2853,139,505,851,732,371,160,95,34,22.7,37.5,5.8,4.9,17.7,29.8,25.7,13,5.6,3.3,931,59679,81041,3630,153,4.2,3477,95.8,2702,74.4,752,20.7,1,0,3,0.1,0,0,0,0,19,0.5,466.9,487.5
Oblong High School,Oblong CUSD 4,Oblong,Crawford,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,474.5,458.7,29.8,46.8,23.4,0,48.9,34,14.9,2.1,36,40,24,0,47,47,Illinois,38.9958292,-87.9092431,700 South Range Street,62449,Crawford County,Oblong,17033,"700 South Range Street, Oblong, Illinois, 62449",880200,17033880200,2022,880200,Crawford County,Illinois,244,13,78,117,36,2620,42,138,783,582,650,285,140,5.3,32,48,14.8,1.6,5.3,29.9,22.2,24.8,10.9,5.3,1541,59838,76904,3767,40,1.1,3727,98.9,3548,94.2,32,0.8,1,0,1,0,0,0,0,0,145,3.8,458.7,474.5
Newton Comm High School,Jasper County CUD 1,Newton,Jasper,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,486,479.8,16.9,61.4,16.9,4.8,34.5,40.5,22.6,2.4,18.6,62.8,14,4.7,84,83,Illinois,38.9897041,-88.1742646,201 West End Avenue,62448,Jasper County,Newton,17079,"201 West End Avenue, Newton, Illinois, 62448",977400,17079977400,2022,977400,Jasper County,Illinois,244,7,88,149,0,2094,32,217,817,336,268,296,128,2.9,36.1,61.1,0,1.5,10.4,39,16,12.8,14.1,6.1,1284,55326,65226,2843,32,1.1,2811,98.9,2748,96.7,10,0.4,0,0,0,0,0,0,0,0,53,1.9,479.8,486
Red Hill Jr/Sr High School,Red Hill CUSD 10,Bridgeport,Lawrence,UNIT,MEDIUM,HIGH SCHOOL,12-Jul,479.8,435.3,25,52.5,22.5,0,57.5,35,7.5,0,22.2,55.6,22.2,0,40,40,Illinois,38.7129393,-87.7574203,908 Church Street,62417,Lawrence County,Bridgeport,17101,"908 Church Street, Bridgeport, Illinois, 62417",880900,17101880900,2022,880900,Lawrence County,Illinois,157,4,74,66,13,1664,28,141,673,342,251,162,67,2.5,47.1,42,8.3,1.7,8.5,40.4,20.6,15.1,9.7,4,1004,45625,87183,2467,0,0,2467,100,2320,94,126,5.1,0,0,0,0,0,0,0,0,21,0.9,435.3,479.8
