District Name,School Name,SCHOOL LEA,N,Math Avg,Math % Met,English Avg,English % Met,Reading Avg,Reading % Met,Science Avg,Science % Met,All % Met,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
FORT SMITH SCHOOL DISTRICT,SOUTHSIDE HIGH SCHOOL,6601025,482,19.7,32.60%,20.7,62.70%,20.6,41.30%,20.4,33.80%,21.80%,Arkansas,35.3487722,-94.3875396,4100 Gary Street,72903,Sebastian County,Fort Smith,5131,"4100 Gary Street, Fort Smith, Arkansas, 72903",1102,5131001102,2019,1102,Sebastian County,Arkansas,344,153,98,76,17,2022,137,103,642,375,146,395,224,44.5,28.5,22.1,4.9,6.8,5.1,31.8,18.5,7.2,19.5,11.1,1341,44680,68982,3001,522,17.4,2479,82.6,1840,61.3,205,6.8,29,1,136,4.5,0,0,0,0,269,9,19.7,20.6
GREENWOOD SCHOOL DISTRICT,GREENWOOD HIGH SCHOOL,6602043,293,21.3,47.10%,21.5,72.40%,20.7,43.30%,21.1,41.60%,26.60%,Arkansas,35.2198584,-94.2522473,501 Bulldog Loop,72936,Sebastian County,Greenwood,5131,"501 Bulldog Loop, Greenwood, Arkansas, 72936",10201,5131010201,2019,10201,Sebastian County,Arkansas,474,40,89,329,16,3698,52,337,1205,900,355,543,306,8.4,18.8,69.4,3.4,1.4,9.1,32.6,24.3,9.6,14.7,8.3,2069,54547,64312,5249,31,0.6,5218,99.4,5049,96.2,13,0.2,39,0.7,0,0,0,0,0,0,117,2.2,21.3,20.7
HACKETT SCHOOL DISTRICT,HACKETT HIGH SCHOOL,6603048,55,17.4,10.90%,17,40.00%,18.3,27.30%,17.9,14.50%,3.60%,Arkansas,35.1866287,-94.4092473,102 North Oak Street,72937,Sebastian County,Hackett,5131,"102 North Oak Street, Hackett, Arkansas, 72937",10301,5131010301,2019,10301,Sebastian County,Arkansas,392,58,156,178,0,4393,60,474,1478,995,420,648,318,14.8,39.8,45.4,0,1.4,10.8,33.6,22.6,9.6,14.8,7.2,2416,61795,72944,6111,183,3,5928,97,5431,88.9,24,0.4,42,0.7,32,0.5,0,0,0,0,399,6.5,17.4,18.3
HACKETT SCHOOL DISTRICT,HARTFORD HIGH SCHOOL,6603052,12,18.5,25.00%,16.9,33.30%,18.1,16.70%,18,16.70%,16.70%,Arkansas,35.0217971,-94.3877182,508 West Main Street,72938,Sebastian County,Hartford,5131,"508 West Main Street, Hartford, Arkansas, 72938",10304,5131010304,2019,10304,Sebastian County,Arkansas,199,13,115,55,16,2659,76,318,958,742,238,187,140,6.5,57.8,27.6,8,2.9,12,36,27.9,9,7,5.3,1437,52273,77187,3656,76,2.1,3580,97.9,3163,86.5,18,0.5,30,0.8,32,0.9,0,0,0,0,337,9.2,18.5,18.1
LAVACA SCHOOL DISTRICT,LAVACA HIGH SCHOOL,6605057,53,18.5,26.40%,17.7,52.80%,17.5,26.40%,17.8,15.10%,7.50%,Arkansas,35.3318303,-94.1752146,311 West Holly Street,72941,Sebastian County,Lavaca,5131,"311 West Holly Street, Lavaca, Arkansas, 72941",10101,5131010101,2019,10101,Sebastian County,Arkansas,481,72,234,142,33,4223,491,364,1345,962,369,462,230,15,48.6,29.5,6.9,11.6,8.6,31.8,22.8,8.7,10.9,5.4,2477,55812,73097,6252,119,1.9,6133,98.1,5867,93.8,23,0.4,96,1.5,0,0,0,0,0,0,147,2.4,18.5,17.5
MANSFIELD SCHOOL DISTRICT,MANSFIELD HIGH SCHOOL,6606062,56,18.1,19.60%,17.8,44.60%,18.9,21.40%,18.7,12.50%,5.40%,Arkansas,35.0679629,-94.222523,2500 U.S. 71,72944,Scott County,Mansfield,5127,"2500 U.S. 71, Mansfield, Arkansas, 72944",950100,5127950100,2019,950100,Scott County,Arkansas,256,59,112,71,14,2936,130,320,1291,656,263,210,66,23,43.8,27.7,5.5,4.4,10.9,44,22.3,9,7.2,2.2,1566,51576,59547,4056,56,1.4,4000,98.6,3651,90,0,0,29,0.7,8,0.2,0,0,0,0,312,7.7,18.1,18.9
FUTURE SCHOOL OF FORT SMITH,FUTURE SCHOOL OF FORT SMITH,6640703,76,18,19.70%,19.1,56.60%,20.5,40.80%,19.5,25.00%,11.80%,Arkansas,35.3914905,-94.4193372,622 North 7th Street,72901,Sebastian County,Fort Smith,5131,"622 North 7th Street, Fort Smith, Arkansas, 72901",300,5131000300,2019,300,Sebastian County,Arkansas,325,44,155,126,0,1420,214,142,564,286,31,108,75,13.5,47.7,38.8,0,15.1,10,39.7,20.1,2.2,7.6,5.3,841,35368,45837,2383,869,36.5,1514,63.5,928,38.9,306,12.8,25,1,26,1.1,0,0,4,0.2,225,9.4,18,20.5
DEQUEEN SCHOOL DISTRICT,DEQUEEN HIGH SCHOOL,6701003,181,18.5,23.80%,16.8,39.20%,18.3,29.30%,18.4,13.80%,8.80%,Arkansas,34.028774,-94.358886,1803 West Coulter Drive,71832,Sevier County,De Queen,5133,"1803 West Coulter Drive, De Queen, Arkansas, 71832",80200,5133080200,2019,80200,Sevier County,Arkansas,250,48,83,119,0,2839,201,298,941,698,220,350,131,19.2,33.2,47.6,0,7.1,10.5,33.1,24.6,7.7,12.3,4.6,1514,47478,81639,4102,881,21.5,3221,78.5,2645,64.5,260,6.3,125,3,71,1.7,0,0,9,0.2,111,2.7,18.5,18.3
HORATIO SCHOOL DISTRICT,HORATIO HIGH SCHOOL,6703013,54,17.6,20.40%,17.4,40.70%,17.6,24.10%,18.1,18.50%,11.10%,Arkansas,33.9479754,-94.347479,1101 Metcalf Lane,71842,Sevier County,Horatio,5133,"1101 Metcalf Lane, Horatio, Arkansas, 71842",80200,5133080200,2019,80200,Sevier County,Arkansas,250,48,83,119,0,2839,201,298,941,698,220,350,131,19.2,33.2,47.6,0,7.1,10.5,33.1,24.6,7.7,12.3,4.6,1514,47478,81639,4102,881,21.5,3221,78.5,2645,64.5,260,6.3,125,3,71,1.7,0,0,9,0.2,111,2.7,17.6,17.6
CAVE CITY SCHOOL DISTRICT,CAVE CITY HIGH CAREER & COLLEGIATE PREPARATORY SCH,6802703,79,17.7,17.70%,17.6,38.00%,18.3,25.30%,18,16.50%,8.90%,Arkansas,35.9486873,-91.5596117,,N/A,Sharp County,N/A,5135,,470402,5135470402,2019,470402,Sharp County,Arkansas,207,15,78,113,1,1793,129,398,682,342,91,129,22,7.2,37.7,54.6,0.5,7.2,22.2,38,19.1,5.1,7.2,1.2,986,39167,75916,2695,67,2.5,2628,97.5,2577,95.6,4,0.1,3,0.1,0,0,0,0,0,0,44,1.6,17.7,18.3
HIGHLAND SCHOOL DISTRICT,HIGHLAND HIGH SCHOOL,6804010,96,18.8,27.10%,18.3,47.90%,18.7,33.30%,19.2,25.00%,14.60%,Arkansas,36.2617891,-91.5314326,1 Rebel Circle,72542,Sharp County,Highland,5135,"1 Rebel Circle, Highland, Arkansas, 72542",470202,5135470202,2019,470202,Sharp County,Arkansas,229,36,40,153,0,1877,49,168,694,381,173,299,113,15.7,17.5,66.8,0,2.6,9,37,20.3,9.2,15.9,6,1219,32905,46557,2697,54,2,2643,98,2605,96.6,0,0,0,0,0,0,0,0,0,0,38,1.4,18.8,18.7
MOUNTAIN VIEW SCHOOL DISTRICT,MOUNTAIN VIEW HIGH SCHOOL,6901007,67,17.8,17.90%,18.9,59.70%,19.3,29.90%,19.1,23.90%,13.40%,Arkansas,35.8602104,-92.084938,210 High School Drive,72560,Stone County,Mountain View,5137,"210 High School Drive, Mountain View, Arkansas, 72560",950204,5137950204,2019,950204,Stone County,Arkansas,315,68,52,195,0,3384,434,417,1148,585,450,212,138,21.6,16.5,61.9,0,12.8,12.3,33.9,17.3,13.3,6.3,4.1,1756,36250,45234,4595,32,0.7,4563,99.3,4396,95.7,12,0.3,14,0.3,0,0,0,0,0,0,141,3.1,17.8,19.3
MOUNTAIN VIEW SCHOOL DISTRICT,RURAL SPECIAL HIGH SCHOOL,6901012,14,19.2,28.60%,20.1,64.30%,19.8,42.90%,19.5,21.40%,14.30%,Arkansas,35.7542959,-92.2879692,13237 Arkansas 263,72051,Stone County,Fox,5137,"13237 Arkansas 263, Fox, Arkansas, 72051",950100,5137950100,2019,950100,Stone County,Arkansas,293,34,166,93,0,2922,164,463,1054,626,256,270,89,11.6,56.7,31.7,0,5.6,15.8,36.1,21.4,8.8,9.2,3,1503,43052,46319,4185,10,0.2,4175,99.8,3931,93.9,0,0,24,0.6,23,0.5,0,0,0,0,197,4.7,19.2,19.8
MOUNTAIN VIEW SCHOOL DISTRICT,TIMBO HIGH SCHOOL,6901016,16,19.6,37.50%,21,87.50%,21.2,37.50%,21.1,31.30%,18.80%,Arkansas,35.8743453,-92.3177396,23747 Arkansas 263,72680,Stone County,Timbo,5137,"23747 Arkansas 263, Timbo, Arkansas, 72680",950100,5137950100,2019,950100,Stone County,Arkansas,293,34,166,93,0,2922,164,463,1054,626,256,270,89,11.6,56.7,31.7,0,5.6,15.8,36.1,21.4,8.8,9.2,3,1503,43052,46319,4185,10,0.2,4175,99.8,3931,93.9,0,0,24,0.6,23,0.5,0,0,0,0,197,4.7,19.6,21.2
EL DORADO SCHOOL DISTRICT,EL DORADO HIGH SCHOOL,7001012,283,17.6,20.10%,16.9,38.20%,18.2,27.60%,18.3,19.40%,13.10%,Arkansas,33.1998926,-92.6937606,2000 Wildcat Drive,71730,Union County,El Dorado,5139,"2000 Wildcat Drive, El Dorado, Arkansas, 71730",950900,5139950900,2019,950900,Union County,Arkansas,158,42,111,0,5,1568,29,195,726,331,49,196,42,26.6,70.3,0,3.2,1.8,12.4,46.3,21.1,3.1,12.5,2.7,945,31713,42424,2640,82,3.1,2558,96.9,609,23.1,1949,73.8,0,0,0,0,0,0,0,0,0,0,17.6,18.2
JUNCTION CITY SCHOOL DISTRICT,JUNCTION CITY HIGH SCHOOL,7003028,55,16.3,5.50%,17.6,45.50%,18.4,27.30%,16.6,5.50%,3.60%,Arkansas,33.0202734,-92.7282967,538 North Elm Street,71749,Union County,Junction City,5139,"538 North Elm Street, Junction City, Arkansas, 71749",950402,5139950402,2019,950402,Union County,Arkansas,62,0,59,3,0,2589,66,313,962,478,206,491,73,0,95.2,4.8,0,2.5,12.1,37.2,18.5,8,19,2.8,1430,53256,68465,3502,120,3.4,3382,96.6,2507,71.6,853,24.4,4,0.1,0,0,0,0,0,0,18,0.5,16.3,18.4
PARKERS CHAPEL SCHOOL DIST.,PARKERS CHAPEL HIGH SCHOOL,7007040,41,18.2,19.50%,16.9,41.50%,18.4,17.10%,18,17.10%,9.80%,Arkansas,33.1690169,-92.7215989,209 Parkers Chapel Road,71730,Union County,El Dorado,5139,"209 Parkers Chapel Road, El Dorado, Arkansas, 71730",950501,5139950501,2019,950501,Union County,Arkansas,150,27,46,31,46,2047,56,128,485,671,213,350,144,18,30.7,20.7,30.7,2.7,6.3,23.7,32.8,10.4,17.1,7,1257,74050,93731,2895,94,3.2,2801,96.8,2601,89.8,56,1.9,73,2.5,0,0,0,0,22,0.8,49,1.7,18.2,18.4
SMACKOVER-NORPHLET SCHOOL DISTRICT,SMACKOVER HIGH SCHOOL,7008045,83,17.8,19.30%,17.7,50.60%,18.8,26.50%,18.7,21.70%,8.40%,Arkansas,33.3656761,-92.7313276,1 Buckaroo Lane,71762,Union County,Smackover,5139,"1 Buckaroo Lane, Smackover, Arkansas, 71762",950300,5139950300,2019,950300,Union County,Arkansas,118,17,13,37,51,1687,54,93,603,480,54,206,197,14.4,11,31.4,43.2,3.2,5.5,35.7,28.5,3.2,12.2,11.7,1012,47500,58579,2338,3,0.1,2335,99.9,1672,71.5,645,27.6,3,0.1,0,0,0,0,0,0,15,0.6,17.8,18.8
STRONG-HUTTIG SCHOOL DISTRICT,STRONG HIGH SCHOOL,7009049,27,15.5,7.40%,13.3,14.80%,14.6,11.10%,15,0.00%,0.00%,Arkansas,33.1055725,-92.3556692,635 South Concord Street,71765,Union County,Strong,5139,"635 South Concord Street, Strong, Arkansas, 71765",950100,5139950100,2019,950100,Union County,Arkansas,115,21,31,63,0,2485,57,282,1089,606,131,238,82,18.3,27,54.8,0,2.3,11.3,43.8,24.4,5.3,9.6,3.3,1482,32218,51623,3146,2,0.1,3144,99.9,1439,45.7,1501,47.7,123,3.9,75,2.4,0,0,0,0,6,0.2,15.5,14.6
CLINTON SCHOOL DISTRICT,CLINTON HIGH SCHOOL,7102006,89,18.5,28.10%,17.8,44.90%,18.1,25.80%,18.1,11.20%,5.60%,Arkansas,35.5837245,-92.4999918,,N/A,Van Buren County,N/A,5141,,460200,5141460200,2019,460200,Van Buren County,Arkansas,338,155,94,73,16,2365,121,252,1072,504,190,93,133,45.9,27.8,21.6,4.7,5.1,10.7,45.3,21.3,8,3.9,5.6,1407,35669,46436,3426,281,8.2,3145,91.8,3105,90.6,7,0.2,17,0.5,0,0,0,0,0,0,16,0.5,18.5,18.1
SHIRLEY SCHOOL DISTRICT,SHIRLEY HIGH SCHOOL,7104015,25,19.3,36.00%,17.6,44.00%,19.4,40.00%,19.3,28.00%,20.00%,Arkansas,35.652848,-92.3221622,,N/A,Van Buren County,N/A,5141,,460100,5141460100,2019,460100,Van Buren County,Arkansas,270,0,211,59,0,2664,282,447,1006,426,140,264,99,0,78.1,21.9,0,10.6,16.8,37.8,16,5.3,9.9,3.7,1498,35967,47146,3844,53,1.4,3791,98.6,3746,97.5,28,0.7,0,0,4,0.1,0,0,0,0,13,0.3,19.3,19.4
SOUTH SIDE SCHOOL DISTRICT(VANBUREN),SOUTH SIDE HIGH SCHOOL,7105019,40,16.7,12.50%,15.9,35.00%,16.2,17.50%,17.4,10.00%,2.50%,Arkansas,35.4286139,-92.3885454,334 Southside Road,72013,Van Buren County,Bee Branch,5141,"334 Southside Road, Bee Branch, Arkansas, 72013",460400,5141460400,2019,460400,Van Buren County,Arkansas,201,27,116,53,5,2973,134,301,1368,628,143,267,132,13.4,57.7,26.4,2.5,4.5,10.1,46,21.1,4.8,9,4.4,1656,44871,59795,3914,25,0.6,3889,99.4,3511,89.7,7,0.2,139,3.6,0,0,0,0,0,0,232,5.9,16.7,16.2
ELKINS SCHOOL DISTRICT,ELKINS HIGH SCHOOL,7201002,93,18.3,23.70%,18.7,51.60%,18.9,33.30%,19,25.80%,12.90%,Arkansas,36.0042193,-94.014391,259 Carrigan Road,72727,Washington County,Elkins,5143,"259 Carrigan Road, Elkins, Arkansas, 72727",11106,5143011106,2019,11106,Washington County,Arkansas,232,11,102,106,13,2190,70,91,759,545,164,342,219,4.7,44,45.7,5.6,3.2,4.2,34.7,24.9,7.5,15.6,10,1206,69514,78000,3400,362,10.6,3038,89.4,2955,86.9,0,0,41,1.2,0,0,0,0,0,0,42,1.2,18.3,18.9
FARMINGTON SCHOOL DISTRICT,FARMINGTON CAREER ACADEMIES,7202703,170,19.1,27.10%,19.2,58.80%,20,37.10%,19.8,25.30%,15.90%,Arkansas,36.0673343,-94.2846246,,N/A,Washington County,N/A,5143,,10515,5143010515,2019,10515,Washington County,Arkansas,274,0,115,95,64,4377,136,297,1355,720,380,999,490,0,42,34.7,23.4,3.1,6.8,31,16.4,8.7,22.8,11.2,2370,90700,104347,5864,470,8,5394,92,5158,88,134,2.3,0,0,77,1.3,0,0,0,0,25,0.4,19.1,20
FAYETTEVILLE SCHOOL DISTRICT,FAYETTEVILLE HIGH SCHOOL,7203020,533,20.6,42.20%,21.7,67.50%,21.9,47.80%,21.3,41.80%,29.30%,Arkansas,36.0578962,-94.1741336,994 Martin Luther King Junior Boulevard,72701,Washington County,Fayetteville,5143,"994 Martin Luther King Junior Boulevard, Fayetteville, Arkansas, 72701",11301,5143011301,2019,11301,Washington County,Arkansas,5299,0,984,4264,51,480,20,0,109,152,0,134,65,0,18.6,80.5,1,4.2,0,22.7,31.7,0,27.9,13.5,727,22312,28961,5817,172,3,5645,97,4358,74.9,703,12.1,95,1.6,299,5.1,27,0.5,0,0,163,2.8,20.6,21.9
FAYETTEVILLE SCHOOL DISTRICT,AGEE LIERLY LIFE PREPARATION SERVICES SCHOOL,7203029,46,15.5,0.00%,14.3,17.40%,15.6,6.50%,15.7,2.20%,0.00%,Arkansas,36.0849702,-94.0899911,,N/A,Washington County,N/A,5143,,10113,5143010113,2019,10113,Washington County,Arkansas,419,63,246,31,79,4503,157,101,737,600,241,1716,951,15,58.7,7.4,18.9,3.5,2.2,16.4,13.3,5.4,38.1,21.1,2539,70372,128089,7198,739,10.3,6459,89.7,5978,83.1,166,2.3,6,0.1,102,1.4,27,0.4,0,0,180,2.5,15.5,15.6
FAYETTEVILLE SCHOOL DISTRICT,FAYETTEVILLE VIRTUAL ACADEMY A DISTRICT CONVERSION,7203703,23,20.4,47.80%,21.3,65.20%,24.3,69.60%,22.3,52.20%,39.10%,Arkansas,36.0579721,-94.1327105,300 South Ray Avenue,72701,Washington County,Fayetteville,5143,"300 South Ray Avenue, Fayetteville, Arkansas, 72701",10110,5143010110,2019,10110,Washington County,Arkansas,893,60,193,413,227,2483,38,63,320,415,106,733,808,6.7,21.6,46.2,25.4,1.5,2.5,12.9,16.7,4.3,29.5,32.5,2030,49565,93321,4369,146,3.3,4223,96.7,3738,85.6,277,6.3,0,0,90,2.1,0,0,0,0,118,2.7,20.4,24.3
GREENLAND SCHOOL DISTRICT,GREENLAND HIGH SCHOOL,7204028,57,17.9,19.30%,17.4,47.40%,19,31.60%,17.7,14.00%,10.50%,Arkansas,35.9940458,-94.1724213,30 North Sandy Avenue,72737,Washington County,Greenland,5143,"30 North Sandy Avenue, Greenland, Arkansas, 72737",11105,5143011105,2019,11105,Washington County,Arkansas,1716,101,403,1087,125,1866,58,199,696,373,64,303,173,5.9,23.5,63.3,7.3,3.1,10.7,37.3,20,3.4,16.2,9.3,1354,40117,50778,4292,510,11.9,3782,88.1,3283,76.5,289,6.7,15,0.3,86,2,8,0.2,0,0,101,2.4,17.9,19
LINCOLN SCHOOL DISTRICT,LINCOLN HIGH SCHOOL,7205706,98,17.4,19.40%,17,49.00%,17.9,25.50%,18.5,22.40%,13.30%,Arkansas,35.9468219,-94.4051173,1392 East Pridemore Drive,72744,Washington County,Lincoln,5143,"1392 East Pridemore Drive, Lincoln, Arkansas, 72744",11002,5143011002,2019,11002,Washington County,Arkansas,480,219,154,92,15,3602,153,346,1646,619,269,416,153,45.6,32.1,19.2,3.1,4.2,9.6,45.7,17.2,7.5,11.5,4.2,2004,45078,52355,5489,363,6.6,5126,93.4,4560,83.1,10,0.2,86,1.6,17,0.3,0,0,29,0.5,424,7.7,17.4,17.9
PRAIRIE GROVE SCHOOL DISTRICT,PRAIRIE GROVE HIGH SCHOOL,7206703,151,19.6,36.40%,19.8,61.60%,19.8,42.40%,19.9,29.80%,21.20%,Arkansas,35.9815764,-94.3244138,500 Cole Drive,72753,Washington County,Prairie Grove,5143,"500 Cole Drive, Prairie Grove, Arkansas, 72753",10514,5143010514,2019,10514,Washington County,Arkansas,243,18,91,134,0,2647,64,116,802,1025,119,346,175,7.4,37.4,55.1,0,2.4,4.4,30.3,38.7,4.5,13.1,6.6,1275,66994,81080,3880,221,5.7,3659,94.3,3050,78.6,0,0,24,0.6,0,0,0,0,0,0,585,15.1,19.6,19.8
SPRINGDALE SCHOOL DISTRICT,SPRINGDALE HIGH SCHOOL,7207049,415,17.9,17.80%,17.2,41.70%,17.8,22.40%,17.9,11.60%,6.00%,Arkansas,36.1850807,-94.1421577,101 South Pleasant Street,72764,Washington County,Springdale,5143,"101 South Pleasant Street, Springdale, Arkansas, 72764",10402,5143010402,2019,10402,Washington County,Arkansas,387,15,178,186,8,3205,299,477,1006,738,153,411,121,3.9,46,48.1,2.1,9.3,14.9,31.4,23,4.8,12.8,3.8,1706,53345,65814,4988,1673,33.5,3315,66.5,2405,48.2,12,0.2,0,0,6,0.1,516,10.3,62,1.2,314,6.3,17.9,17.8
SPRINGDALE SCHOOL DISTRICT,HAR-BER HIGH SCHOOL,7207062,527,19.4,34.50%,19.6,54.50%,20,35.50%,20.1,29.00%,19.40%,Arkansas,36.1842731,-94.2130412,300 Jones Road,72762,Washington County,Springdale,5143,"300 Jones Road, Springdale, Arkansas, 72762",10518,5143010518,2019,10518,Washington County,Arkansas,226,51,97,57,21,2749,53,74,686,371,176,825,564,22.6,42.9,25.2,9.3,1.9,2.7,25,13.5,6.4,30,20.5,1450,93792,148027,3929,530,13.5,3399,86.5,2900,73.8,7,0.2,45,1.1,80,2,144,3.7,2,0.1,221,5.6,19.4,20
SPRINGDALE SCHOOL DISTRICT,DON TYSON SCHOOL OF INNOVATION,7207703,115,19.6,29.60%,19.1,57.40%,20.5,33.90%,19.6,25.20%,16.50%,Arkansas,36.1601029,-94.0845611,2667 Hylton Road,72764,Washington County,Springdale,5143,"2667 Hylton Road, Springdale, Arkansas, 72764",10109,5143010109,2019,10109,Washington County,Arkansas,2,0,2,0,0,1975,50,179,654,404,129,311,248,0,100,0,0,2.5,9.1,33.1,20.5,6.5,15.7,12.6,1002,73377,83200,2739,8,0.3,2731,99.7,2506,91.5,0,0,139,5.1,31,1.1,0,0,0,0,55,2,19.6,20.5
WEST FORK SCHOOL DISTRICT,WEST FORK HIGH SCHOOL,7208062,60,17,8.30%,18.3,55.00%,19.6,38.30%,18.4,18.30%,5.00%,Arkansas,35.9216443,-94.1916196,359 School Avenue,72774,Washington County,West Fork,5143,"359 School Avenue, West Fork, Arkansas, 72774",11003,5143011003,2019,11003,Washington County,Arkansas,417,77,246,52,42,3386,109,237,1325,758,240,345,372,18.5,59,12.5,10.1,3.2,7,39.1,22.4,7.1,10.2,11,1860,59940,68078,4971,64,1.3,4907,98.7,4765,95.9,1,0,53,1.1,0,0,0,0,0,0,88,1.8,17,19.6
HAAS HALL ACADEMY,HAAS HALL ACADEMY,7240703,57,26.3,84.20%,29.1,94.70%,27.8,78.90%,25.8,75.40%,64.90%,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2019,71001,White County,Arkansas,108,6,60,21,21,3058,67,235,1518,504,148,457,129,5.6,55.6,19.4,19.4,2.2,7.7,49.6,16.5,4.8,14.9,4.2,1497,49841,76612,3743,114,3,3629,97,3385,90.4,52,1.4,96,2.6,0,0,0,0,0,0,96,2.6,26.3,27.8
BALD KNOB SCHOOL DISTRICT,BALD KNOB HIGH SCHOOL,7301003,99,17.9,21.20%,17.7,44.40%,18.5,27.30%,17.8,16.20%,11.10%,Arkansas,35.3168149,-91.5718281,901 North Hickory Street,72010,White County,Bald Knob,5145,"901 North Hickory Street, Bald Knob, Arkansas, 72010",70600,5145070600,2019,70600,White County,Arkansas,290,102,103,76,9,2564,141,277,1141,486,147,279,93,35.2,35.5,26.2,3.1,5.5,10.8,44.5,19,5.7,10.9,3.6,1528,32020,46989,3775,89,2.4,3686,97.6,3503,92.8,58,1.5,24,0.6,0,0,0,0,12,0.3,89,2.4,17.9,18.5
BEEBE SCHOOL DISTRICT,BEEBE HIGH SCHOOL,7302010,220,19.2,26.40%,20.2,60.00%,20.3,36.40%,20.2,30.90%,15.90%,Arkansas,35.0642972,-91.8927462,1201 West Center Street,72012,White County,Beebe,5145,"1201 West Center Street, Beebe, Arkansas, 72012",71202,5145071202,2019,71202,White County,Arkansas,304,0,190,114,0,3401,113,138,1450,713,368,425,194,0,62.5,37.5,0,3.3,4.1,42.6,21,10.8,12.5,5.7,1998,41810,60100,5266,229,4.3,5037,95.7,4374,83.1,294,5.6,0,0,136,2.6,0,0,0,0,233,4.4,19.2,20.3
BEEBE SCHOOL DISTRICT,BADGER ACADEMY,7302703,2,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,Arkansas,35.1552638,-91.949021,,N/A,White County,N/A,5145,,71002,5145071002,2019,71002,White County,Arkansas,194,4,53,125,12,2625,47,228,1203,502,181,291,173,2.1,27.3,64.4,6.2,1.8,8.7,45.8,19.1,6.9,11.1,6.6,1481,50407,59871,3535,7,0.2,3528,99.8,3489,98.7,0,0,1,0,0,0,0,0,15,0.4,23,0.7,,
BRADFORD SCHOOL DISTRICT,BRADFORD HIGH SCHOOL,7303015,23,18.1,21.70%,17.2,39.10%,18.8,30.40%,18.2,13.00%,8.70%,Arkansas,35.4256095,-91.4598312,504 West Main Street,72020,White County,Bradford,5145,"504 West Main Street, Bradford, Arkansas, 72020",70100,5145070100,2019,70100,White County,Arkansas,218,38,132,47,1,2795,266,264,1383,453,189,189,51,17.4,60.6,21.6,0.5,9.5,9.4,49.5,16.2,6.8,6.8,1.8,1525,39801,48090,3903,66,1.7,3837,98.3,3720,95.3,10,0.3,4,0.1,0,0,0,0,0,0,103,2.6,18.1,18.8
WHITE CO. CENTRAL SCHOOL DIST.,WHITE CO. CENTRAL HIGH SCHOOL,7304019,55,17.2,14.50%,16.1,27.30%,17.7,20.00%,16.4,9.10%,5.50%,Arkansas,35.3575912,-91.6769171,3259 Arkansas 157,72081,White County,Judsonia,5145,"3259 Arkansas 157, Judsonia, Arkansas, 72081",70501,5145070501,2019,70501,White County,Arkansas,256,104,66,86,0,2730,140,769,1131,227,218,236,9,40.6,25.8,33.6,0,5.1,28.2,41.4,8.3,8,8.6,0.3,1187,57358,78282,3794,413,10.9,3381,89.1,3353,88.4,16,0.4,0,0,0,0,0,0,0,0,12,0.3,17.2,17.7
RIVERVIEW SCHOOL DISTRICT,RIVERVIEW HIGH SCHOOL,7307032,94,17.2,9.60%,17.9,53.20%,17.9,23.40%,17.9,17.00%,4.30%,Arkansas,35.254911,-91.6892361,810 Raider Drive,72143,White County,Searcy,5145,"810 Raider Drive, Searcy, Arkansas, 72143",70700,5145070700,2019,70700,White County,Arkansas,234,99,46,76,13,2860,103,210,743,505,248,411,640,42.3,19.7,32.5,5.6,3.6,7.3,26,17.7,8.7,14.4,22.4,1551,45417,67180,3932,148,3.8,3784,96.2,3326,84.6,139,3.5,0,0,252,6.4,0,0,20,0.5,47,1.2,17.2,17.9
