Unnamed: 0,School Name,Grades,District Name,Math: % Met Readiness Benchmark,English: % Met Readiness Benchmark,Reading: % Met Readiness Benchmark,Science: % Met Readiness Benchmark,% Met Readiness Benchmark in all Four Subjects,School Enrollment,School % FRL,School % White,School % Hispanic,School % Black,School % Other Races,School Overall % Minority,Region,Number of Students in Grade 11, Number of Students in grade 11 that took the ACT, % Students in grade 11 that took the ACT in 2015-16,Average ACT Math Score,Average ACT English Score,Average ACT Reading Score,Average ACT Science Score,Is Open Enrollment Charter,County,School LEA,DLEA,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
217,Ozark Mountain High School,12-Jul,Ozark Mountain School District,0.148,0.407,0.259,0.185,0.148,236,0.7331,0.9407,0.0254,0.0042,0.03,0.06,1,40,27,0.675,17,17.2,19.1,18.9,0,SEARCY,6505021,6505000,Arkansas,36.0989774,-92.9554781,310 School Street,72685,Newton County,Western Grove,5101,"310 School Street, Western Grove, Arkansas, 72685",180100,5101180100,2023,180100,Newton County,Arkansas,331,68,117,136,10,2547,70,312,763,737,220,253,192,20.5,35.3,41.1,3,2.7,12.2,30,28.9,8.6,9.9,7.5,1497,52917,62197,3687,38,1,3649,99,3453,93.7,11,0.3,4,0.1,6,0.2,7,0.2,17,0.5,151,4.1,17,19.1
218,Palestine-Wheatley Senior High,12-Jul,Palestine-Wheatley School District,0.051,0.356,0.203,0.068,0.034,356,0.8539,0.8708,0.0197,0.0983,0.01,0.13,2,68,59,0.867647059,16.2,15.6,17.8,16.9,0,ST FRANCIS,6205028,6205000,Arkansas,34.9910985,-90.9438468,,N/A,St. Francis County,N/A,5123,,960300,5123960300,2023,960300,St. Francis County,Arkansas,184,59,63,62,0,1625,65,111,795,354,96,167,37,32.1,34.2,33.7,0,4,6.8,48.9,21.8,5.9,10.3,2.3,904,50058,69116,2416,18,0.7,2398,99.3,1542,63.8,807,33.4,0,0,0,0,0,0,0,0,49,2,16.2,17.8
219,Pangburn High School,12-Jul,Pangburn School District,0.065,0.419,0.323,0.242,0.048,348,0.5776,0.9483,0.0316,0,0.02,0.05,2,67,62,0.925373134,16.4,17,18.6,18.8,0,WHITE,7309039,7309000,Arkansas,35.4305767,-91.8356187,801 East 2nd,72121,White County,Pangburn,5145,"801 East 2nd, Pangburn, Arkansas, 72121",70200,5145070200,2023,70200,White County,Arkansas,255,36,106,97,16,3607,166,297,1719,558,399,237,231,14.1,41.6,38,6.3,4.6,8.2,47.7,15.5,11.1,6.6,6.4,2045,55709,65181,5641,185,3.3,5456,96.7,5065,89.8,0,0,1,0,121,2.1,0,0,0,0,269,4.8,16.4,18.6
220,Paragould High School,12-Sep,Paragould School District,0.225,0.483,0.365,0.275,0.185,864,0.5903,0.7581,0.0903,0.0683,0.08,0.24,2,215,178,0.827906977,17.9,18.8,18.7,19,0,GREENE,2808043,2808000,Arkansas,36.0582487,-90.5070714,1701 West Court Street,72450,Greene County,Paragould,5055,"1701 West Court Street, Paragould, Arkansas, 72450",480402,5055480402,2023,480402,Greene County,Arkansas,244,9,141,46,48,1967,34,421,1017,230,50,81,134,3.7,57.8,18.9,19.7,1.7,21.4,51.7,11.7,2.5,4.1,6.8,1190,54303,55439,3062,210,6.9,2852,93.1,2401,78.4,212,6.9,0,0,0,0,190,6.2,0,0,49,1.6,17.9,18.7
221,Paris High School,12-Sep,Paris School District,0.056,0.296,0.211,0.155,0.042,302,0.702,0.8444,0.053,0.0132,0.09,0.16,1,94,71,0.755319149,15.7,14.9,16.7,17.1,0,LOGAN,4203012,4203000,Arkansas,35.2980308,-93.7059402,2000 East Wood Street,72855,Logan County,Paris,5083,"2000 East Wood Street, Paris, Arkansas, 72855",950300,5083950300,2023,950300,Logan County,Arkansas,175,55,66,54,0,2756,68,150,1362,464,191,351,170,31.4,37.7,30.9,0,2.5,5.4,49.4,16.8,6.9,12.7,6.2,1623,48618,62344,3635,85,2.3,3550,97.7,3357,92.4,35,1,2,0.1,109,3,0,0,0,0,47,1.3,15.7,16.7
222,Parkers Chapel High School,12-Jul,Parkers Chapel School District,0.177,0.435,0.242,0.194,0.113,359,0.3092,0.8189,0.0362,0.1058,0.04,0.18,4,68,62,0.911764706,17.3,17,17.9,17.8,0,UNION,7007040,7007000,Arkansas,33.1690169,-92.7215989,209 Parkers Chapel Road,71730,Union County,El Dorado,5139,"209 Parkers Chapel Road, El Dorado, Arkansas, 71730",950501,5139950501,2023,950501,Union County,Arkansas,330,0,91,176,63,2050,8,157,538,692,251,280,124,0,27.6,53.3,19.1,0.4,7.7,26.2,33.8,12.2,13.7,6,1290,67750,112210,3273,221,6.8,3052,93.2,2826,86.3,158,4.8,9,0.3,0,0,0,0,0,0,59,1.8,17.3,17.9
223,Parkview Magnet High School,12-Sep,Little Rock School District,0.072,0.309,0.208,0.097,0.048,1063,0.7018,0.1176,0.1101,0.7554,0.02,0.88,3,233,207,0.888412017,15.5,15.3,17.3,16.7,0,PULASKI,6001005,6001000,Arkansas,34.7314138,-92.3702359,2501 John Barrow Road,72204,Pulaski County,Little Rock,5119,"2501 John Barrow Road, Little Rock, Arkansas, 72204",2403,5119002403,2023,2403,Pulaski County,Arkansas,386,17,235,35,99,2503,15,205,887,605,270,343,178,4.4,60.9,9.1,25.6,0.6,8.2,35.4,24.2,10.8,13.7,7.1,1667,37893,47826,3554,287,8.1,3267,91.9,788,22.2,2357,66.3,0,0,41,1.2,0,0,0,0,81,2.3,15.5,17.3
224,Pea Ridge High School,12-Oct,Pea Ridge School District,0.273,0.461,0.352,0.303,0.218,580,0.2603,0.8707,0.0741,0.0155,0.04,0.13,1,201,165,0.820895522,18.9,18.2,19,19.4,0,BENTON,407027,407000,Arkansas,36.4566192,-94.135008,1925 West Pickens Road,72751,Benton County,Pea Ridge,5007,"1925 West Pickens Road, Pea Ridge, Arkansas, 72751",20103,5007020103,2023,20103,Benton County,Arkansas,315,40,159,116,0,3250,147,210,1208,804,341,381,159,12.7,50.5,36.8,0,4.5,6.5,37.2,24.7,10.5,11.7,4.9,1737,78750,94727,4777,534,11.2,4243,88.8,3191,66.8,302,6.3,5,0.1,62,1.3,0,0,0,0,683,14.3,18.9,19
225,Perryville High School,12-Jul,Perryville School District,0.113,0.5,0.29,0.161,0.097,416,0.5793,0.9375,0.0313,0.0024,0.03,0.06,1,71,62,0.873239437,16.8,17.8,19.4,18.7,0,PERRY,5303011,5303000,Arkansas,34.9583939,-92.9775558,,N/A,Perry County,N/A,5105,,952900,5105952900,2023,952900,Perry County,Arkansas,92,15,24,53,0,1333,21,71,504,347,145,160,85,16.3,26.1,57.6,0,1.6,5.3,37.8,26,10.9,12,6.4,730,62250,80773,1796,82,4.6,1714,95.4,1586,88.3,11,0.6,4,0.2,0,0,0,0,0,0,113,6.3,16.8,19.4
226,Piggott High School,12-Jul,Piggott School District,0.022,0.222,0.156,0.044,0.022,343,0.5773,0.9475,0.0262,0.0058,0.02,0.05,2,49,45,0.918367347,15.2,14.6,16.2,16.5,0,CLAY,1104018,1104000,Arkansas,36.3814856,-90.1849826,533 East Main Street,72454,Clay County,Piggott,5021,"533 East Main Street, Piggott, Arkansas, 72454",950600,5021950600,2023,950600,Clay County,Arkansas,266,25,124,111,6,2462,66,129,1069,639,161,269,129,9.4,46.6,41.7,2.3,2.7,5.2,43.4,26,6.5,10.9,5.2,1500,48889,62763,3748,75,2,3673,98,3524,94,13,0.3,22,0.6,0,0,0,0,0,0,114,3,15.2,16.2
227,Pine Bluff High School,12-Oct,Pine Bluff School District,0.031,0.19,0.092,0.061,0.018,780,0.7846,0.0179,0.0103,0.9487,0.02,0.98,3,270,163,0.603703704,14.6,13.9,15.1,16.5,0,JEFFERSON,3505042,3505000,Arkansas,34.2192758,-92.0095733,711 West 11th Avenue,71601,Jefferson County,Pine Bluff,5069,"711 West 11th Avenue, Pine Bluff, Arkansas, 71601",1200,5069001200,2023,1200,Jefferson County,Arkansas,112,0,67,38,7,1156,239,76,448,131,54,142,66,0,59.8,33.9,6.3,20.7,6.6,38.8,11.3,4.7,12.3,5.7,813,22113,68298,1569,5,0.3,1564,99.7,202,12.9,1330,84.8,0,0,0,0,0,0,0,0,32,2,14.6,15.1
228,Pocahontas High School,12-Oct,Pocahontas School District,0.177,0.435,0.258,0.21,0.137,384,0.5313,0.7891,0.0339,0.0052,0.17,0.21,2,137,124,0.905109489,17.1,17.1,17.4,18,0,RANDOLPH,6103010,6103000,Arkansas,36.2803717,-90.9817087,2312 Stadium Drive,72455,Randolph County,Pocahontas,5121,"2312 Stadium Drive, Pocahontas, Arkansas, 72455",960301,5121960301,2023,960301,Randolph County,Arkansas,277,21,118,126,12,3039,168,178,1199,661,224,295,314,7.6,42.6,45.5,4.3,5.5,5.9,39.5,21.8,7.4,9.7,10.3,1617,44821,63997,4375,103,2.4,4272,97.6,3819,87.3,52,1.2,14,0.3,35,0.8,116,2.7,0,0,236,5.4,17.1,17.4
229,Polk County Virtual Academy,K-12,Mena School District,N<10,N<10,N<10,N<10,N<10,15,0.2667,0.8,0,0,0.2,0.2,4,4,N<10,N<10,N<10,N<10,N<10,N<10,0,POLK,5703703,5703000,Arkansas,34.4839376,-94.1104449,,N/A,Polk County,N/A,5113,,950100,5113950100,2023,950100,Polk County,Arkansas,105,26,55,24,0,3066,154,344,1111,752,172,349,184,24.8,52.4,22.9,0,5,11.2,36.2,24.5,5.6,11.4,6,1765,49004,71973,3653,254,7,3399,93,3187,87.2,0,0,71,1.9,0,0,0,0,0,0,141,3.9,,
230,Pottsville High School,12-Oct,Pottsville School District,0.129,0.398,0.333,0.269,0.065,395,0.3468,0.8861,0.0734,0.0177,0.02,0.11,1,111,93,0.837837838,17.6,17.3,19.2,19,0,POPE,5804014,5804000,Arkansas,35.2389165,-93.0287288,500 Apache Drive,72858,Pope County,Pottsville,5115,"500 Apache Drive, Pottsville, Arkansas, 72858",951202,5115951202,2023,951202,Pope County,Arkansas,386,30,239,75,42,3317,123,162,1373,459,314,581,305,7.8,61.9,19.4,10.9,3.7,4.9,41.4,13.8,9.5,17.5,9.2,1991,74875,117184,5325,638,12,4687,88,4386,82.4,196,3.7,0,0,11,0.2,0,0,14,0.3,80,1.5,17.6,19.2
231,Poyen High School,12-Jul,Poyen School District,0.1,0.5,0.175,0.075,RV,253,0.4545,0.9368,0.0316,0,0.03,0.06,3,41,40,0.975609756,16.6,16.5,17.5,17.9,0,GRANT,2703010,2703000,Arkansas,34.3247954,-92.6445624,111 North School Street,72128,Grant County,Poyen,5053,"111 North School Street, Poyen, Arkansas, 72128",470300,5053470300,2023,470300,Grant County,Arkansas,318,40,194,64,20,2814,74,172,1278,545,229,402,114,12.6,61,20.1,6.3,2.6,6.1,45.4,19.4,8.1,14.3,4.1,1389,65815,81094,3979,146,3.7,3833,96.3,3610,90.7,125,3.1,3,0.1,2,0.1,0,0,4,0.1,89,2.2,16.6,17.5
232,Prairie Grove High School,12-Sep,Prairie Grove School District,0.157,0.405,0.331,0.198,0.099,595,0.2874,0.8218,0.0975,0.0168,0.06,0.18,1,147,121,0.823129252,17.1,16.6,19.3,18.5,0,WASHINGTON,7206703,7206000,Arkansas,35.9815764,-94.3244138,500 Cole Drive,72753,Washington County,Prairie Grove,5143,"500 Cole Drive, Prairie Grove, Arkansas, 72753",10514,5143010514,2023,10514,Washington County,Arkansas,274,55,100,80,39,2493,107,59,645,886,258,388,150,20.1,36.5,29.2,14.2,4.3,2.4,25.9,35.5,10.3,15.6,6,1362,63021,88853,3916,203,5.2,3713,94.8,2503,63.9,10,0.3,6,0.2,22,0.6,0,0,0,0,1172,29.9,17.1,19.3
233,Premier High School Of Fort Smith,12-Sep,Premier High Schools Of Arkansas,RV,0.263,RV,RV,RV,98,0.398,0.5714,0.1837,0.1122,0.13,0.43,3,31,19,0.612903226,14.8,13.3,13.7,14.9,1,PULASKI,6053706,6053700,Arkansas,35.3843722,-94.4209646,,N/A,Sebastian County,Fort Smith,5131,,300,5131000300,2023,300,Sebastian County,Arkansas,154,13,66,61,14,1615,297,154,509,350,25,185,95,8.4,42.9,39.6,9.1,18.4,9.5,31.5,21.7,1.5,11.5,5.9,877,42201,52273,2416,1114,46.1,1302,53.9,658,27.2,261,10.8,17,0.7,30,1.2,0,0,16,0.7,320,13.2,14.8,13.7
234,Premier High School Of Little Rock,12-Sep,Responsive Ed Solutions Premier High School Of Little Rock,N<10,N<10,N<10,N<10,N<10,91,0.8242,0,0.011,0.989,0,1,1,37,N<10,N<10,N<10,N<10,N<10,N<10,1,SEBASTIAN,6053703,6053700,Arkansas,34.7444618,-92.2880157,,N/A,Pulaski County,Little Rock,5119,,4400,5119004400,2023,4400,Pulaski County,Arkansas,146,6,0,9,131,1743,10,95,145,219,114,497,663,4.1,0,6.2,89.7,0.6,5.5,8.3,12.6,6.5,28.5,38,1323,96898,145292,2002,120,6,1882,94,1531,76.5,260,13,0,0,24,1.2,0,0,0,0,67,3.3,,
235,Premier High School Of North Little Rock,12-Sep,Responsive Ed Solutions Premier High School Of North Little Rock,N<10,N<10,N<10,N<10,N<10,90,0.8556,0.0667,0.0444,0.8222,0.07,0.93,3,32,N<10,N<10,N<10,N<10,N<10,N<10,1,PULASKI,6062703,6062700,Arkansas,34.756104,-92.2677497,,N/A,Pulaski County,North Little Rock,5119,,2500,5119002500,2023,2500,Pulaski County,Arkansas,182,0,56,45,81,1007,41,14,182,177,124,242,227,0,30.8,24.7,44.5,4.1,1.4,18.1,17.6,12.3,24,22.5,890,51563,62165,1259,28,2.2,1231,97.8,660,52.4,434,34.5,0,0,54,4.3,6,0.5,0,0,77,6.1,,
236,Premier High School Of Texarkana,12-Sep,Premier High Schools Of Arkansas,0.077,0.077,0.077,RV,RV,68,0.6765,0.4412,0.0294,0.4706,0.06,0.56,4,18,13,0.722222222,14.5,13.2,13.9,15.5,1,MILLER,6053709,6053700,Arkansas,33.4377803,-94.0292036,1500 Jefferson Avenue,71854,Miller County,Texarkana,5091,"1500 Jefferson Avenue, Texarkana, Arkansas, 71854",20702,5091020702,2023,20702,Miller County,Arkansas,313,12,200,89,12,2367,59,51,845,662,182,314,254,3.8,63.9,28.4,3.8,2.5,2.2,35.7,28,7.7,13.3,10.7,1635,48692,68107,3453,21,0.6,3432,99.4,1633,47.3,1740,50.4,0,0,0,0,0,0,0,0,59,1.7,14.5,13.9
237,Premier High School Online,12-Sep,Premier High Schools Of Arkansas,RV,0.091,0.091,RV,RV,277,0.3357,0.3032,0.0939,0.5162,0.09,0.7,3,84,22,0.261904762,14.3,12.9,14.6,15.6,1,PULASKI,6053712,6053700,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2023,71001,White County,Arkansas,54,9,28,8,9,2464,74,139,1087,377,183,451,153,16.7,51.9,14.8,16.7,3,5.6,44.1,15.3,7.4,18.3,6.2,1352,58339,83939,3098,93,3,3005,97,2779,89.7,75,2.4,14,0.5,0,0,0,0,0,0,137,4.4,14.3,14.6
238,Prescott High School,12-Sep,Prescott School District,0.012,0.349,0.14,0.081,RV,303,0.6766,0.4983,0.0792,0.4092,0.01,0.5,4,91,86,0.945054945,15.3,15,17.1,17.3,0,NEVADA,5006024,5006000,Arkansas,33.7913217,-93.3775516,736 Martin Street,71857,Nevada County,Prescott,5099,"736 Martin Street, Prescott, Arkansas, 71857",90200,5099090200,2023,90200,Nevada County,Arkansas,516,11,386,119,0,2698,75,170,1219,500,326,337,71,2.1,74.8,23.1,0,2.8,6.3,45.2,18.5,12.1,12.5,2.6,1705,40126,48045,4334,344,7.9,3990,92.1,2676,61.7,1243,28.7,0,0,0,0,7,0.2,0,0,64,1.5,15.3,17.1
239,Quitman High School,12-Sep,Quitman School District,0.143,0.446,0.393,0.196,0.107,275,0.4,0.9527,0.0109,0.0145,0.02,0.05,2,71,56,0.788732394,17.6,17.4,19.4,19.1,0,CLEBURNE,1203011,1203000,Arkansas,35.3794514,-92.222091,6275 Heber Springs Road West,72131,Cleburne County,Quitman,5023,"6275 Heber Springs Road West, Quitman, Arkansas, 72131",480502,5023480502,2023,480502,Cleburne County,Arkansas,252,53,96,102,1,2636,85,174,1050,529,244,367,187,21,38.1,40.5,0.4,3.2,6.6,39.8,20.1,9.3,13.9,7.1,1483,50101,71484,3524,90,2.6,3434,97.4,3137,89,0,0,9,0.3,6,0.2,0,0,108,3.1,174,4.9,17.6,19.4
240,Rector High School,12-Jul,Rector School District,0.118,0.559,0.294,0.235,0.088,252,0.6627,0.9484,0.0317,0,0.02,0.05,2,36,34,0.944444444,16.9,18.5,18.9,18,0,CLAY,1106023,1106000,Arkansas,36.2631972,-90.2981985,604 West 5th Street,72461,Clay County,Rector,5021,"604 West 5th Street, Rector, Arkansas, 72461",950500,5021950500,2023,950500,Clay County,Arkansas,135,7,29,71,28,1309,98,209,534,261,34,77,96,5.2,21.5,52.6,20.7,7.5,16,40.8,19.9,2.6,5.9,7.3,862,45104,51721,1744,5,0.3,1739,99.7,1638,93.9,0,0,0,0,0,0,0,0,0,0,101,5.8,16.9,18.9
241,Responsive Ed Solutions Premier High School Of Springdale,12-Sep,Responsive Ed Solutions Premier High School Of Springdale,0.069,0.069,0.034,RV,RV,73,0.3151,0.3425,0.4932,0.0411,0.12,0.66,1,25,29,1.16,14.7,11.8,13,14.9,1,WASHINGTON,7242703,7242700,Arkansas,36.1745404,-94.1389831,,N/A,Washington County,Springdale,5143,,11200,5143011200,2023,11200,Washington County,Arkansas,104,13,54,26,11,1778,340,181,554,535,72,88,8,12.5,51.9,25,10.6,19.1,10.2,31.2,30.1,4,4.9,0.4,964,71094,82325,2462,1350,54.8,1112,45.2,718,29.2,74,3,0,0,22,0.9,165,6.7,0,0,133,5.4,14.7,13
242,Rison High School,12-Jul,Cleveland County School District,0.175,0.386,0.281,0.228,0.123,345,0.5072,0.7188,0.0261,0.2145,0.04,0.28,5,62,57,0.919354839,17.4,15.9,17.6,18.3,0,CLEVELAND,1305010,1305000,Arkansas,33.9552496,-92.1876937,700 Main Street,71665,Cleveland County,Rison,5025,"700 Main Street, Rison, Arkansas, 71665",970100,5025970100,2023,970100,Cleveland County,Arkansas,370,15,192,163,0,2923,31,274,1128,749,251,351,139,4.1,51.9,44.1,0,1.1,9.4,38.6,25.6,8.6,12,4.8,1528,47386,61229,4188,5,0.1,4183,99.9,3539,84.5,454,10.8,0,0,0,0,0,0,0,0,190,4.5,17.4,17.6
243,River Valley Virtual Academy,K-12,Van Buren School District,0.077,0.385,0.308,0.077,0.077,105,0.6762,0.8571,0.0381,0.019,0.09,0.14,1,23,13,0.565217391,15.2,16.2,17.3,17.8,0,CRAWFORD,1705703,1705000,Arkansas,35.4761483,-94.3580803,60 Northridge Drive,72956,Crawford County,Van Buren,5033,"60 Northridge Drive, Van Buren, Arkansas, 72956",20208,5033020208,2023,20208,Crawford County,Arkansas,209,42,73,87,7,2580,131,183,810,717,265,397,77,20.1,34.9,41.6,3.3,5.1,7.1,31.4,27.8,10.3,15.4,3,1436,58040,63903,3673,255,6.9,3418,93.1,2740,74.6,107,2.9,12,0.3,35,1,0,0,108,2.9,416,11.3,15.2,17.3
244,Riverside High School,12-Jul,Riverside School District,0.189,0.514,0.459,0.324,0.189,353,0.4561,0.8867,0.0623,0.0283,0.02,0.11,2,42,37,0.880952381,17.1,18.1,19.2,19.8,0,CRAIGHEAD,1613021,1613000,Arkansas,35.820115,-90.4541316,2007 Arkansas 18,72437,Craighead County,Lake City,5031,"2007 Arkansas 18, Lake City, Arkansas, 72437",900,5031000900,2023,900,Craighead County,Arkansas,431,20,203,173,35,4100,128,307,1764,838,454,366,243,4.6,47.1,40.1,8.1,3.1,7.5,43,20.4,11.1,8.9,5.9,2455,58382,70936,6130,84,1.4,6046,98.6,5547,90.5,204,3.3,14,0.2,0,0,0,0,0,0,281,4.6,17.1,19.2
245,Riverview High School,12-Sep,Riverview School District,0.03,0.197,0.152,0.076,0.015,316,0.5886,0.6582,0.1487,0.0949,0.1,0.34,2,73,66,0.904109589,15.2,14.6,16.4,16.4,0,WHITE,7307032,7307000,Arkansas,35.254911,-91.6892361,810 Raider Drive,72143,White County,Searcy,5145,"810 Raider Drive, Searcy, Arkansas, 72143",70700,5145070700,2023,70700,White County,Arkansas,253,73,75,88,17,2902,115,189,772,858,245,291,432,28.9,29.6,34.8,6.7,4,6.5,26.6,29.6,8.4,10,14.9,1589,54340,79626,3776,371,9.8,3405,90.2,2934,77.7,213,5.6,0,0,105,2.8,0,0,30,0.8,123,3.3,15.2,16.4
246,Rogers Heritage High School,12-Sep,Rogers School District,0.116,0.342,0.177,0.153,0.073,2125,0.4908,0.3882,0.5224,0.0169,0.07,0.61,1,553,509,0.920433996,16.6,15.9,17.2,17.6,0,BENTON,405052,405000,Arkansas,36.3237956,-94.1230579,1114 South 5th Street,72756,Benton County,Rogers,5007,"1114 South 5th Street, Rogers, Arkansas, 72756",20206,5007020206,2023,20206,Benton County,Arkansas,624,68,291,206,59,4684,924,634,1542,486,234,732,132,10.9,46.6,33,9.5,19.7,13.5,32.9,10.4,5,15.6,2.8,2360,79390,81726,8407,4517,53.7,3890,46.3,2269,27,42,0.5,0,0,150,1.8,351,4.2,234,2.8,844,10,16.6,17.2
247,Rogers High School,12-Sep,Rogers School District,0.197,0.466,0.316,0.256,0.148,2379,0.4128,0.4153,0.4893,0.016,0.08,0.58,1,620,532,0.858064516,17.7,17.7,19,18.9,0,BENTON,405048,405000,Arkansas,36.299969,-94.1467358,2300 South Dixieland Road,72758,Benton County,Rogers,5007,"2300 South Dixieland Road, Rogers, Arkansas, 72758",20405,5007020405,2023,20405,Benton County,Arkansas,609,11,36,346,216,3712,20,82,688,533,319,1209,861,1.8,5.9,56.8,35.5,0.5,2.2,18.5,14.4,8.6,32.6,23.2,2330,100429,121044,5406,756,14,4650,86,3588,66.4,11,0.2,26,0.5,740,13.7,0,0,0,0,285,5.3,17.7,19
248,Rogers New Technology High School,12-Sep,Rogers School District,0.157,0.535,0.409,0.346,0.119,672,0.4241,0.3958,0.5387,0.0164,0.05,0.6,1,164,159,0.969512195,17.7,18.5,20.5,20.3,0,BENTON,405703,405000,Arkansas,36.3016266,-94.1192513,2922 South 1st Street,72758,Benton County,Rogers,5007,"2922 South 1st Street, Rogers, Arkansas, 72758",20206,5007020206,2023,20206,Benton County,Arkansas,624,68,291,206,59,4684,924,634,1542,486,234,732,132,10.9,46.6,33,9.5,19.7,13.5,32.9,10.4,5,15.6,2.8,2360,79390,81726,8407,4517,53.7,3890,46.3,2269,27,42,0.5,0,0,150,1.8,351,4.2,234,2.8,844,10,17.7,20.5
249,Rose Bud High School,12-Jul,Rose Bud School District,RV,0.182,0.159,0.023,RV,340,0.4206,0.9235,0.0559,0.0088,0.01,0.08,2,51,44,0.862745098,15.9,13.8,16.2,17,0,WHITE,7310043,7310000,Arkansas,35.3341122,-92.0725523,124 School Road,72137,White County,Rose Bud,5145,"124 School Road, Rose Bud, Arkansas, 72137",70300,5145070300,2023,70300,White County,Arkansas,169,28,57,59,25,3419,231,390,1753,392,238,347,68,16.6,33.7,34.9,14.8,6.8,11.4,51.3,11.5,7,10.1,2,1818,60278,64093,5012,157,3.1,4855,96.9,4714,94.1,0,0,1,0,0,0,0,0,6,0.1,134,2.7,15.9,16.2
250,Rural Special High School,12-Jul,Mountain View School District,0.077,0.538,0.462,0.385,0.077,85,0.6706,0.8941,0.1059,0,0,0.11,2,14,13,0.928571429,17.4,18.5,21.2,19.5,0,STONE,6901012,6901000,Arkansas,35.7542959,-92.2879692,13237 Arkansas 263,72051,Stone County,Fox,5137,"13237 Arkansas 263, Fox, Arkansas, 72051",950100,5137950100,2023,950100,Stone County,Arkansas,310,55,167,56,32,3289,170,467,1144,731,342,297,138,17.7,53.9,18.1,10.3,5.2,14.2,34.8,22.2,10.4,9,4.2,1708,44040,56804,4741,4,0.1,4737,99.9,4309,90.9,0,0,30,0.6,8,0.2,0,0,0,0,390,8.2,17.4,21.2
251,Russellville High School,12-Oct,Russellville School District,0.248,0.556,0.416,0.308,0.194,1284,0.5631,0.581,0.2687,0.0623,0.09,0.42,1,438,351,0.801369863,18.2,19.1,20.2,20,0,POPE,5805024,5805000,Arkansas,35.2578473,-93.1179535,2203 South Knoxville Avenue,72802,Pope County,Russellville,5115,"2203 South Knoxville Avenue, Russellville, Arkansas, 72802",951601,5115951601,2023,951601,Pope County,Arkansas,810,97,150,482,81,3938,176,297,1768,634,275,519,269,12,18.5,59.5,10,4.5,7.5,44.9,16.1,7,13.2,6.8,2587,46016,62549,6304,1943,30.8,4361,69.2,3912,62.1,30,0.5,0,0,119,1.9,29,0.5,0,0,271,4.3,18.2,20.2
252,Salem High School,12-Jul,Salem School District,0.137,0.608,0.451,0.333,0.098,416,0.6058,0.9303,0.0288,0.0096,0.03,0.07,2,63,51,0.80952381,18.4,19.1,21,19.6,0,FULTON,2502006,2502000,Arkansas,36.3593264,-91.8166092,313 U.S. 62,72576,Fulton County,Salem,5049,"313 U.S. 62, Salem, Arkansas, 72576",550201,5049550201,2023,550201,Fulton County,Arkansas,183,35,77,71,0,2479,164,80,945,695,190,265,140,19.1,42.1,38.8,0,6.6,3.2,38.1,28,7.7,10.7,5.6,1284,37214,50613,3126,23,0.7,3103,99.3,2832,90.6,24,0.8,0,0,4,0.1,0,0,0,0,243,7.8,18.4,21
253,School For The Deaf,K-12,Ark. School For The Deaf,RV,RV,RV,RV,RV,102,0.6275,0.4804,0.1471,0.2941,0.08,0.52,3,16,11,0.6875,13.6,11.5,12.2,13.3,0,PULASKI,6092004,6092000,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2023,71001,White County,Arkansas,54,9,28,8,9,2464,74,139,1087,377,183,451,153,16.7,51.9,14.8,16.7,3,5.6,44.1,15.3,7.4,18.3,6.2,1352,58339,83939,3098,93,3,3005,97,2779,89.7,75,2.4,14,0.5,0,0,0,0,0,0,137,4.4,13.6,12.2
