School Name,District Name,RW Scores,Math Scores,Tests Taken,# Students SAT ELA Participation,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
ASPIRA Charter - Early College Prep HS,City of Chicago SD 299,421.6,424.8,85,85,Illinois,41.9128678,-87.6964062,1711 North California Avenue,60647,Cook County,Chicago,17031,"1711 North California Avenue, Chicago, Illinois, 60647",240700,17031240700,2019,240700,Cook County,Illinois,136,0,21,94,21,1337,90,73,226,128,36,555,229,0,15.4,69.1,15.4,6.7,5.5,16.9,9.6,2.7,41.5,17.1,701,84896,137147,1872,871,46.5,1001,53.5,765,40.9,149,8,0,0,53,2.8,0,0,10,0.5,24,1.3
Dunbar Vocational Career Acad HS,City of Chicago SD 299,402.1,386.3,75,75,Illinois,41.8408859,-87.6181914,3000 South King Drive,60616,Cook County,Chicago,17031,"3000 South King Drive, Chicago, Illinois, 60616",839200,17031839200,2019,839200,Cook County,Illinois,312,0,109,174,29,1927,37,153,258,485,94,483,417,0,34.9,55.8,9.3,1.9,7.9,13.4,25.2,4.9,25.1,21.6,1356,38397,65607,2434,59,2.4,2375,97.6,318,13.1,1358,55.8,0,0,377,15.5,0,0,164,6.7,158,6.5
Oakland High School,Oakland CUSD 5,488.1,443.8,16,16,Illinois,39.6581103,-88.0214501,310 North Teeter Street,61943,Coles County,Oakland,17029,"310 North Teeter Street, Oakland, Illinois, 61943",100,17029000100,2019,100,Coles County,Illinois,199,27,112,47,13,2074,42,127,841,572,238,164,90,13.6,56.3,23.6,6.5,2,6.1,40.5,27.6,11.5,7.9,4.3,1232,48864,62269,2935,45,1.5,2890,98.5,2872,97.9,3,0.1,0,0,0,0,0,0,0,0,15,0.5
O Fallon High School,O Fallon Twp HSD 203,533.3,540.3,587,587,Illinois,38.5900004,-89.9066314,,N/A,St. Clair County,N/A,17163,,504352,17163504352,2019,504352,St. Clair County,Illinois,309,67,73,137,32,3028,52,96,527,810,292,913,338,21.7,23.6,44.3,10.4,1.7,3.2,17.4,26.8,9.6,30.2,11.2,1969,66739,79838,4256,103,2.4,4153,97.6,3618,85,279,6.6,0,0,76,1.8,0,0,0,0,180,4.2
Gage Park High School,City of Chicago SD 299,397.9,381.7,121,121,Illinois,41.7909828,-87.6895972,5630 South Rockwell Street,60629,Cook County,Chicago,17031,"5630 South Rockwell Street, Chicago, Illinois, 60629",835100,17031835100,2019,835100,Cook County,Illinois,735,164,293,278,0,2778,749,278,1067,314,195,143,32,22.3,39.9,37.8,0,27,10,38.4,11.3,7,5.1,1.2,1260,39324,56463,4903,3919,79.9,984,20.1,39,0.8,906,18.5,0,0,27,0.6,0,0,0,0,12,0.2
Ohio Community High School,Ohio CHSD 505,437.5,436.3,,,Illinois,41.5580453,-89.4601209,103 South Memorial Street,61349,Bureau County,Ohio,17011,"103 South Memorial Street, Ohio, Illinois, 61349",964700,17011964700,2019,964700,Bureau County,Illinois,243,23,99,113,8,2008,25,156,709,596,237,169,116,9.5,40.7,46.5,3.3,1.2,7.8,35.3,29.7,11.8,8.4,5.8,1164,62421,81355,2805,31,1.1,2774,98.9,2681,95.6,23,0.8,0,0,8,0.3,0,0,0,0,62,2.2
Lincoln Comm High School,Lincoln CHSD 404,488.4,484.1,185,185,Illinois,40.1369548,-89.3571424,1000 Railer Way,62656,Logan County,Lincoln,17107,"1000 Railer Way, Lincoln, Illinois, 62656",953300,17107953300,2019,953300,Logan County,Illinois,352,32,45,93,182,2247,78,128,970,643,170,239,19,9.1,12.8,26.4,51.7,3.5,5.7,43.2,28.6,7.6,10.6,0.8,1528,48575,62255,3197,0,0,3197,100,3056,95.6,22,0.7,0,0,12,0.4,0,0,0,0,107,3.3
Mercer County High School,Mercer County School District 404,507.6,494.4,84,84,Illinois,41.1894937,-90.7499391,1500 South College Avenue,61231,Mercer County,Aledo,17131,"1500 South College Avenue, Aledo, Illinois, 61231",40300,17131040300,2019,40300,Mercer County,Illinois,288,73,81,134,0,2741,67,139,1035,625,327,335,213,25.3,28.1,46.5,0,2.4,5.1,37.8,22.8,11.9,12.2,7.8,1583,50602,59455,3668,112,3.1,3556,96.9,3422,93.3,58,1.6,0,0,38,1,0,0,0,0,38,1
Sterling High School,Sterling CUSD 5,474.8,475.3,230,230,Illinois,41.8032554,-89.6913331,1608 4th Avenue,61081,Whiteside County,Sterling,17195,"1608 4th Avenue, Sterling, Illinois, 61081",1101,17195001101,2019,1101,Whiteside County,Illinois,222,60,12,120,30,2214,63,75,595,646,360,336,139,27,5.4,54.1,13.5,2.8,3.4,26.9,29.2,16.3,15.2,6.3,1231,50592,95852,2911,506,17.4,2405,82.6,2368,81.3,15,0.5,0,0,22,0.8,0,0,0,0,0,0
Chicago Excel Academy HS,City of Chicago SD 299,399.5,375.4,57,57,Illinois,41.691908,-87.6541825,1257 West 111th Street,60643,Cook County,Chicago,17031,"1257 West 111th Street, Chicago, Illinois, 60643",750600,17031750600,2019,750600,Cook County,Illinois,350,37,83,190,40,2156,32,172,588,694,206,350,114,10.6,23.7,54.3,11.4,1.5,8,27.3,32.2,9.6,16.2,5.3,1202,42174,59705,3385,122,3.6,3263,96.4,69,2,3012,89,0,0,0,0,0,0,0,0,182,5.4
Sandoval Sr High School,Sandoval CUSD 501,447.9,403.2,19,19,Illinois,38.6286632,-89.1134166,,N/A,Marion County,N/A,17121,,951800,17121951800,2019,951800,Marion County,Illinois,120,28,47,37,8,1554,57,207,538,463,101,139,49,23.3,39.2,30.8,6.7,3.7,13.3,34.6,29.8,6.5,8.9,3.2,962,45000,54685,2201,53,2.4,2148,97.6,2038,92.6,15,0.7,8,0.4,1,0,0,0,10,0.5,76,3.5
Bogan High School,City of Chicago SD 299,406.1,400.3,230,230,Illinois,41.748772,-87.7208789,3939 West 79th Street,60652,Cook County,Chicago,17031,"3939 West 79th Street, Chicago, Illinois, 60652",700401,17031700401,2019,700401,Cook County,Illinois,916,33,345,476,62,4014,437,351,973,1067,381,444,361,3.6,37.7,52,6.8,10.9,8.7,24.2,26.6,9.5,11.1,9,1888,79318,82780,6455,2512,38.9,3943,61.1,228,3.5,3447,53.4,0,0,97,1.5,0,0,0,0,171,2.6
Elk Grove High School,Township HSD 214,500,508.2,463,463,Illinois,42.0112193,-87.9976725,500 West Elk Grove Boulevard,60007,Cook County,Elk Grove Village,17031,"500 West Elk Grove Boulevard, Elk Grove Village, Illinois, 60007",770300,17031770300,2019,770300,Cook County,Illinois,475,1,144,215,115,4926,159,191,1351,1284,426,1061,454,0.2,30.3,45.3,24.2,3.2,3.9,27.4,26.1,8.6,21.5,9.2,2696,73554,94846,6870,897,13.1,5973,86.9,4989,72.6,420,6.1,0,0,437,6.4,0,0,11,0.2,116,1.7
Barrington High School,Barrington CUSD 220,565,582.1,764,764,Illinois,42.155948,-88.147437,616 West Main Street,60010,Lake County,Barrington,17097,"616 West Main Street, Barrington, Illinois, 60010",864308,17097864308,2019,864308,Lake County,Illinois,319,32,79,174,34,3011,32,6,228,454,166,1248,877,10,24.8,54.5,10.7,1.1,0.2,7.6,15.1,5.5,41.4,29.1,1703,137277,168732,4561,279,6.1,4282,93.9,3834,84.1,50,1.1,0,0,280,6.1,0,0,0,0,118,2.6
Somonauk High School,Somonauk CUSD 432,494.5,500.5,75,75,Illinois,41.6317329,-88.6901245,501 West Market Street,60552,DeKalb County,Somonauk,17037,"501 West Market Street, Somonauk, Illinois, 60552",1900,17037001900,2019,1900,DeKalb County,Illinois,267,70,70,127,0,1721,11,66,584,441,267,268,84,26.2,26.2,47.6,0,0.6,3.8,33.9,25.6,15.5,15.6,4.9,934,86034,95677,2542,48,1.9,2494,98.1,2457,96.7,0,0,0,0,0,0,0,0,0,0,37,1.5
YCCS-Jane Addams Alternative HS,City of Chicago SD 299,414.5,395.2,42,42,Illinois,41.8003514,-87.7271397,5101 South Keeler Avenue,60632,Cook County,Chicago,17031,"5101 South Keeler Avenue, Chicago, Illinois, 60632",570500,17031570500,2019,570500,Cook County,Illinois,354,68,146,105,35,1623,263,198,661,273,87,101,40,19.2,41.2,29.7,9.9,16.2,12.2,40.7,16.8,5.4,6.2,2.5,739,43380,60463,2497,1971,78.9,526,21.1,469,18.8,0,0,0,0,57,2.3,0,0,0,0,0,0
J B Conant High School,Township HSD 211,535.8,563,576,576,Illinois,42.0363212,-88.0619521,700 East Cougar Trail,60169,Cook County,Hoffman Estates,17031,"700 East Cougar Trail, Hoffman Estates, Illinois, 60169",804608,17031804608,2019,804608,Cook County,Illinois,155,31,48,74,2,2398,62,41,334,479,154,713,615,20,31,47.7,1.3,2.6,1.7,13.9,20,6.4,29.7,25.6,1395,101189,122693,3237,130,4,3107,96,1806,55.8,21,0.6,0,0,1012,31.3,0,0,61,1.9,207,6.4
Proviso Math and Science Academy,Proviso Twp HSD 209,574.4,579.3,165,165,Illinois,41.8650958,-87.8326269,8601 Roosevelt Road,60130,Cook County,Forest Park,17031,"8601 Roosevelt Road, Forest Park, Illinois, 60130",816100,17031816100,2019,816100,Cook County,Illinois,340,0,133,101,106,4212,123,180,823,809,499,1034,744,0,39.1,29.7,31.2,2.9,4.3,19.5,19.2,11.8,24.5,17.7,2410,60109,82258,5432,634,11.7,4798,88.3,2678,49.3,1729,31.8,11,0.2,191,3.5,0,0,0,0,189,3.5
Webber High School,Bluford Unit School District 318,480.7,464.8,29,29,Illinois,38.3241253,-88.7411515,310 South Elm Street,62814,Jefferson County,Bluford,17081,"310 South Elm Street, Bluford, Illinois, 62814",50200,17081050200,2019,50200,Jefferson County,Illinois,218,50,107,59,2,2007,113,212,643,583,227,182,47,22.9,49.1,27.1,0.9,5.6,10.6,32,29,11.3,9.1,2.3,1145,57765,67294,2906,46,1.6,2860,98.4,2728,93.9,0,0,14,0.5,1,0,0,0,0,0,117,4
Proviso East High School,Proviso Twp HSD 209,421.1,404.9,367,367,Illinois,41.8802148,-87.8335909,807 South 1st Avenue,60153,Cook County,Maywood,17031,"807 South 1st Avenue, Maywood, Illinois, 60153",817500,17031817500,2019,817500,Cook County,Illinois,397,0,192,149,56,2422,318,243,899,558,164,170,70,0,48.4,37.5,14.1,13.1,10,37.1,23,6.8,7,2.9,1257,52128,63614,3419,778,22.8,2641,77.2,394,11.5,2156,63.1,0,0,68,2,0,0,0,0,23,0.7
Knoxville Sr High School,Knoxville CUSD 202,493.4,478.5,79,79,Illinois,40.9069834,-90.275331,600 East Main Street,61448,Knox County,Knoxville,17095,"600 East Main Street, Knoxville, Illinois, 61448",1300,17095001300,2019,1300,Knox County,Illinois,220,19,91,55,55,2513,17,80,1025,581,273,365,172,8.6,41.4,25,25,0.7,3.2,40.8,23.1,10.9,14.5,6.8,1381,55919,69730,3759,97,2.6,3662,97.4,3551,94.5,25,0.7,0,0,11,0.3,0,0,0,0,75,2
Rushville-Industry High School,Schuyler-Industry CUSD 5,479.2,460.7,86,86,Illinois,40.1277426,-90.5646439,730 North Congress Street,62681,Schuyler County,Rushville,17169,"730 North Congress Street, Rushville, Illinois, 62681",970200,17169970200,2019,970200,Schuyler County,Illinois,173,57,79,37,0,1768,22,135,716,413,118,248,116,32.9,45.7,21.4,0,1.2,7.6,40.5,23.4,6.7,14,6.6,1162,41695,54333,2324,11,0.5,2313,99.5,2204,94.8,88,3.8,0,0,10,0.4,0,0,0,0,11,0.5
Peoria Heights High School,Peoria Heights CUSD 325,447.3,449,48,48,Illinois,40.7452736,-89.5856857,508 East Glen Avenue,61616,Peoria County,Peoria Heights,17143,"508 East Glen Avenue, Peoria Heights, Illinois, 61616",4300,17143004300,2019,4300,Peoria County,Illinois,108,23,24,59,2,1393,11,68,430,399,209,171,105,21.3,22.2,54.6,1.9,0.8,4.9,30.9,28.6,15,12.3,7.5,977,38893,45174,2118,34,1.6,2084,98.4,1858,87.7,69,3.3,0,0,12,0.6,0,0,0,0,145,6.8
Lindblom Math & Science Acad HS,City of Chicago SD 299,543.3,545.9,266,266,Illinois,41.7820798,-87.6718901,6130 South Wolcott Avenue,60636,Cook County,Chicago,17031,"6130 South Wolcott Avenue, Chicago, Illinois, 60636",670600,17031670600,2019,670600,Cook County,Illinois,57,6,37,14,0,653,26,131,262,163,26,44,1,10.5,64.9,24.6,0,4,20.1,40.1,25,4,6.7,0.2,328,21452,41852,972,193,19.9,779,80.1,5,0.5,774,79.6,0,0,0,0,0,0,0,0,0,0
Palestine High School,Palestine CUSD 3,501.4,465.2,21,21,Illinois,39.0032905,-87.6124193,102 North Main Street,62451,Crawford County,Palestine,17033,"102 North Main Street, Palestine, Illinois, 62451",880500,17033880500,2019,880500,Crawford County,Illinois,312,129,80,99,4,3424,162,793,830,891,447,211,90,41.3,25.6,31.7,1.3,4.7,23.2,24.2,26,13.1,6.2,2.6,967,52122,67641,4284,312,7.3,3972,92.7,2966,69.2,980,22.9,1,0,0,0,0,0,0,0,25,0.6
Carrollton High School,Carrollton CUSD 1,504.5,516.3,38,38,Illinois,39.2938653,-90.4027052,950 3rd Street,62016,Greene County,Carrollton,17061,"950 3rd Street, Carrollton, Illinois, 62016",974000,17061974000,2019,974000,Greene County,Illinois,337,49,162,120,6,2383,27,74,1036,583,278,275,110,14.5,48.1,35.6,1.8,1.1,3.1,43.5,24.5,11.7,11.5,4.6,1381,56150,73306,3409,90,2.6,3319,97.4,3280,96.2,9,0.3,0,0,0,0,0,0,0,0,30,0.9
CICS - Longwood Campus,City of Chicago SD 299,401.7,386.2,115,115,Illinois,41.7203213,-87.6557986,1309 West 95th Street,60643,Cook County,Chicago,17031,"1309 West 95th Street, Chicago, Illinois, 60643",730400,17031730400,2019,730400,Cook County,Illinois,261,41,73,146,1,3064,56,368,658,964,141,583,294,15.7,28,55.9,0.4,1.8,12,21.5,31.5,4.6,19,9.6,1392,84000,90298,4284,104,2.4,4180,97.6,198,4.6,3894,90.9,7,0.2,0,0,0,0,0,0,81,1.9
Acero Chtr Sch Network Victoria Soto Campus,City of Chicago SD 299,424.9,426.1,142,142,Illinois,41.8019585,-87.7105036,5025 South Saint Louis Avenue,60632,Cook County,Chicago,17031,"5025 South Saint Louis Avenue, Chicago, Illinois, 60632",630300,17031630300,2019,630300,Cook County,Illinois,566,102,115,224,125,3337,639,543,1292,201,283,353,26,18,20.3,39.6,22.1,19.1,16.3,38.7,6,8.5,10.6,0.8,1354,53173,65085,5178,4875,94.1,303,5.9,235,4.5,22,0.4,0,0,46,0.9,0,0,0,0,0,0
Williamsville High School,Williamsville CUSD 15,535.1,535.9,98,98,Illinois,39.9471073,-89.5488513,900 S Walnut St,62693,Sangamon County,Williamsville,17167,"900 S Walnut St, Williamsville, Illinois, 62693",3701,17167003701,2019,3701,Sangamon County,Illinois,451,62,119,189,81,2808,34,86,475,673,290,794,456,13.7,26.4,41.9,18,1.2,3.1,16.9,24,10.3,28.3,16.2,1500,109773,130727,4173,210,5,3963,95,3894,93.3,0,0,0,0,9,0.2,0,0,0,0,60,1.4
Foreman High School,City of Chicago SD 299,393.4,392.6,207,207,Illinois,41.93967,-87.7539406,3235 North Leclaire Avenue,60641,Cook County,Chicago,17031,"3235 North Leclaire Avenue, Chicago, Illinois, 60641",151001,17031151001,2019,151001,Cook County,Illinois,206,28,58,94,26,1822,181,131,463,441,158,379,69,13.6,28.2,45.6,12.6,9.9,7.2,25.4,24.2,8.7,20.8,3.8,888,76563,89487,2666,1764,66.2,902,33.8,711,26.7,28,1.1,0,0,150,5.6,0,0,0,0,13,0.5
Auburn High School,Auburn CUSD 10,499.3,468,105,105,Illinois,39.5966418,-89.7476898,511 North 7th Street,62615,Sangamon County,Auburn,17167,"511 North 7th Street, Auburn, Illinois, 62615",3400,17167003400,2019,3400,Sangamon County,Illinois,493,50,172,203,68,4165,34,263,1685,908,413,664,198,10.1,34.9,41.2,13.8,0.8,6.3,40.5,21.8,9.9,15.9,4.8,2282,74659,86123,6176,31,0.5,6145,99.5,6035,97.7,36,0.6,6,0.1,23,0.4,0,0,0,0,45,0.7
Chicago HS for the Arts,City of Chicago SD 299,506.9,473.3,143,143,Illinois,41.688838,-87.7170385,11101 South Pulaski Road,60655,Cook County,Chicago,17031,"11101 South Pulaski Road, Chicago, Illinois, 60655",740400,17031740400,2019,740400,Cook County,Illinois,376,47,187,35,107,2935,50,18,730,787,254,691,405,12.5,49.7,9.3,28.5,1.7,0.6,24.9,26.8,8.7,23.5,13.8,1829,85824,100851,4440,435,9.8,4005,90.2,3281,73.9,446,10,0,0,160,3.6,0,0,0,0,118,2.7
Rockford East High School,Rockford SD 205,441.1,421.7,431,431,Illinois,42.2563589,-89.0495867,2929 Charles Street,61108,Winnebago County,Rockford,17201,"2929 Charles Street, Rockford, Illinois, 61108",1500,17201001500,2019,1500,Winnebago County,Illinois,544,45,307,192,0,3669,255,191,801,1251,657,321,193,8.3,56.4,35.3,0,7,5.2,21.8,34.1,17.9,8.7,5.3,2558,41004,59892,5228,908,17.4,4320,82.6,3338,63.8,726,13.9,0,0,175,3.3,0,0,39,0.7,42,0.8
Univ of Chicago Chtr-Woodlawn,City of Chicago SD 299,422.5,427.8,91,91,Illinois,41.8561467,-87.658113,,N/A,Cook County,Chicago,17031,,310600,17031310600,2019,310600,Cook County,Illinois,519,0,139,277,103,3541,365,275,700,290,88,1159,664,0,26.8,53.4,19.8,10.3,7.8,19.8,8.2,2.5,32.7,18.8,2116,66074,77026,4780,2605,54.5,2175,45.5,1653,34.6,211,4.4,0,0,311,6.5,0,0,0,0,0,0
Walter Henri Dyett High School for the Arts,City of Chicago SD 299,431.2,414.9,137,137,Illinois,41.8011311,-87.6122545,555 East 51st Street,60615,Cook County,Chicago,17031,"555 East 51st Street, Chicago, Illinois, 60615",836100,17031836100,2019,836100,Cook County,Illinois,101,37,18,46,0,1112,29,184,396,175,52,215,61,36.6,17.8,45.5,0,2.6,16.5,35.6,15.7,4.7,19.3,5.5,772,21638,34115,1834,94,5.1,1740,94.9,72,3.9,1463,79.8,0,0,0,0,0,0,0,0,205,11.2
Rich South Campus High School,Rich Twp HSD 227,442.4,428.1,204,204,Illinois,41.4852328,-87.7370944,5000 Sauk Trail,60471,Cook County,Richton Park,17031,"5000 Sauk Trail, Richton Park, Illinois, 60471",830008,17031830008,2019,830008,Cook County,Illinois,713,94,116,459,44,2850,10,105,653,744,405,630,303,13.2,16.3,64.4,6.2,0.4,3.7,22.9,26.1,14.2,22.1,10.6,1510,95724,100488,4601,83,1.8,4518,98.2,306,6.7,3852,83.7,7,0.2,0,0,0,0,64,1.4,289,6.3
Martinsville Jr-Sr High School,Martinsville CUSD 3C,491,468.6,21,21,Illinois,39.3329002,-87.8871729,255 West Cumberland Street,62442,Clark County,Martinsville,17023,"255 West Cumberland Street, Martinsville, Illinois, 62442",60300,17023060300,2019,60300,Clark County,Illinois,544,75,213,173,83,3616,103,239,1487,693,474,369,251,13.8,39.2,31.8,15.3,2.8,6.6,41.1,19.2,13.1,10.2,6.9,2439,46515,61092,5284,71,1.3,5213,98.7,5122,96.9,41,0.8,9,0.2,0,0,0,0,0,0,41,0.8
Harvard High School,Harvard CUSD 50,457.8,445.5,170,170,Illinois,42.4282907,-88.6095067,1103 North Jefferson Street,60033,McHenry County,Harvard,17111,"1103 North Jefferson Street, Harvard, Illinois, 60033",870302,17111870302,2019,870302,McHenry County,Illinois,408,132,196,49,31,2315,360,411,748,450,86,178,82,32.4,48,12,7.6,15.6,17.8,32.3,19.4,3.7,7.7,3.5,1327,52303,67054,4193,2014,48,2179,52,2124,50.7,11,0.3,0,0,21,0.5,0,0,0,0,23,0.5
Bloom High School,Bloom Twp HSD 206,447.8,434.7,392,392,Illinois,41.5145734,-87.6431299,101 West 10th Street,60411,Cook County,Chicago Heights,17031,"101 West 10th Street, Chicago Heights, Illinois, 60411",829200,17031829200,2019,829200,Cook County,Illinois,634,140,257,237,0,3532,383,436,1102,806,256,406,143,22.1,40.5,37.4,0,10.8,12.3,31.2,22.8,7.2,11.5,4,1859,49358,60054,5733,2619,45.7,3114,54.3,1245,21.7,1750,30.5,0,0,9,0.2,0,0,0,0,110,1.9
Eugene Field School,McLean County USD 5,455,380,,,Illinois,40.5152362,-88.9792685,412 East Cypress Street,61761,McLean County,Normal,17113,"412 East Cypress Street, Normal, Illinois, 61761",106,17113000106,2019,106,McLean County,Illinois,2814,24,98,2188,504,893,0,11,206,216,135,221,104,0.9,3.5,77.8,17.9,0,1.2,23.1,24.2,15.1,24.7,11.6,1434,24783,40137,3898,180,4.6,3718,95.4,3607,92.5,0,0,0,0,72,1.8,0,0,0,0,39,1
Kelvyn Park High School,City of Chicago SD 299,419.1,416.2,69,69,Illinois,41.9272439,-87.7359639,4343 West Wrightwood Avenue,60639,Cook County,Chicago,17031,"4343 West Wrightwood Avenue, Chicago, Illinois, 60639",200200,17031200200,2019,200200,Cook County,Illinois,693,90,231,372,0,3342,735,210,1123,510,149,420,195,13,33.3,53.7,0,22,6.3,33.6,15.3,4.5,12.6,5.8,1590,57143,68443,4768,3987,83.6,781,16.4,506,10.6,261,5.5,0,0,0,0,9,0.2,0,0,5,0.1
Milledgeville High School,Chadwick-Milledgeville CUSD 399,494,464.8,42,42,Illinois,41.967232,-89.7720894,100 East 8th Street,61051,Carroll County,Milledgeville,17015,"100 East 8th Street, Milledgeville, Illinois, 61051",960500,17015960500,2019,960500,Carroll County,Illinois,193,6,84,45,58,1665,45,72,559,447,173,236,133,3.1,43.5,23.3,30.1,2.7,4.3,33.6,26.8,10.4,14.2,8,1079,57196,73114,2402,100,4.2,2302,95.8,2283,95,2,0.1,0,0,0,0,0,0,0,0,17,0.7
Adlai E Stevenson High School,Adlai E Stevenson HSD 125,599,623.4,1006,1006,Illinois,42.1995639,-87.9455751,1 Stevenson Drive,60069,Lake County,Lincolnshire,17097,"1 Stevenson Drive, Lincolnshire, Illinois, 60069",864514,17097864514,2019,864514,Lake County,Illinois,116,5,55,38,18,1688,0,23,207,198,81,518,661,4.3,47.4,32.8,15.5,0,1.4,12.3,11.7,4.8,30.7,39.2,968,132778,154212,2333,77,3.3,2256,96.7,1430,61.3,6,0.3,0,0,765,32.8,0,0,12,0.5,43,1.8
Tri-City High School,Tri City CUSD 1,446.6,456.3,35,35,Illinois,39.8494039,-89.4135344,324 West Charles Street,62515,Sangamon County,Buffalo,17167,"324 West Charles Street, Buffalo, Illinois, 62515",4000,17167004000,2019,4000,Sangamon County,Illinois,286,53,140,82,11,3271,32,130,1438,714,298,535,124,18.5,49,28.7,3.8,1,4,44,21.8,9.1,16.4,3.8,1802,73125,80267,4522,46,1,4476,99,4320,95.5,32,0.7,0,0,7,0.2,0,0,0,0,117,2.6
Sycamore High School,Sycamore CUSD 427,524.2,516.6,320,320,Illinois,41.9844989,-88.7034053,427 Spartan Trail,60178,DeKalb County,Sycamore,17037,"427 Spartan Trail, Sycamore, Illinois, 60178",500,17037000500,2019,500,DeKalb County,Illinois,413,16,50,303,44,2907,33,132,648,765,385,555,389,3.9,12.1,73.4,10.7,1.1,4.5,22.3,26.3,13.2,19.1,13.4,1737,60920,76256,4174,596,14.3,3578,85.7,3248,77.8,173,4.1,0,0,46,1.1,0,0,5,0.1,106,2.5
Northside College Preparatory Hs,City of Chicago SD 299,662.1,663.2,269,269,Illinois,41.9813057,-87.7078996,5501 North Kedzie Avenue,60625,Cook County,Chicago,17031,"5501 North Kedzie Avenue, Chicago, Illinois, 60625",831800,17031831800,2019,831800,Cook County,Illinois,844,22,166,431,225,4294,349,203,908,633,294,1109,798,2.6,19.7,51.1,26.7,8.1,4.7,21.1,14.7,6.8,25.8,18.6,2390,57500,80917,6252,1295,20.7,4957,79.3,2941,47,101,1.6,0,0,1551,24.8,0,0,118,1.9,246,3.9
Harry D Jacobs High School,CUSD 300,519.8,528.2,480,480,Illinois,42.1670978,-88.341387,2601 Bunker Hill Drive,60102,McHenry County,Algonquin,17111,"2601 Bunker Hill Drive, Algonquin, Illinois, 60102",871206,17111871206,2019,871206,McHenry County,Illinois,759,215,262,212,70,5303,327,136,1205,1145,378,1485,627,28.3,34.5,27.9,9.2,6.2,2.6,22.7,21.6,7.1,28,11.8,2684,115893,127592,7366,469,6.4,6897,93.6,5825,79.1,95,1.3,0,0,720,9.8,0,0,40,0.5,217,2.9
Mount Pulaski High School,Mt Pulaski CUSD 23,480.2,465.6,50,50,Illinois,39.9999016,-89.341667,,N/A,Logan County,N/A,17107,,953500,17107953500,2019,953500,Logan County,Illinois,300,146,80,62,12,4349,273,772,1201,1168,340,420,175,48.7,26.7,20.7,4,6.3,17.8,27.6,26.9,7.8,9.7,4,1004,76328,93062,5234,432,8.3,4802,91.7,3244,62,1437,27.5,12,0.2,0,0,2,0,14,0.3,93,1.8
Curie Metropolitan High School,City of Chicago SD 299,443,449.7,583,583,Illinois,41.8022427,-87.72167,4959 South Archer Avenue,60632,Cook County,Chicago,17031,"4959 South Archer Avenue, Chicago, Illinois, 60632",570400,17031570400,2019,570400,Cook County,Illinois,154,29,52,65,8,1127,210,145,518,86,44,95,29,18.8,33.8,42.2,5.2,18.6,12.9,46,7.6,3.9,8.4,2.6,550,61275,78653,1685,1353,80.3,332,19.7,274,16.3,1,0.1,0,0,57,3.4,0,0,0,0,0,0
Acero Chtr Sch Newtwork- Sor Juana Ines de la Cruz,City of Chicago SD 299,447.6,444.8,25,25,Illinois,42.0160949,-87.6845409,7416 North Ridge Boulevard,60645,Cook County,Chicago,17031,"7416 North Ridge Boulevard, Chicago, Illinois, 60645",20100,17031020100,2019,20100,Cook County,Illinois,343,115,69,151,8,2806,339,118,610,356,253,863,267,33.5,20.1,44,2.3,12.1,4.2,21.7,12.7,9,30.8,9.5,1476,51068,76564,3742,939,25.1,2803,74.9,940,25.1,1360,36.3,0,0,178,4.8,0,0,0,0,325,8.7
Clark Acad Prep Magnet High Schl,City of Chicago SD 299,408.5,391.6,117,117,Illinois,41.8561467,-87.658113,,N/A,Cook County,Chicago,17031,,310600,17031310600,2019,310600,Cook County,Illinois,519,0,139,277,103,3541,365,275,700,290,88,1159,664,0,26.8,53.4,19.8,10.3,7.8,19.8,8.2,2.5,32.7,18.8,2116,66074,77026,4780,2605,54.5,2175,45.5,1653,34.6,211,4.4,0,0,311,6.5,0,0,0,0,0,0
