District Name,School Name,N,English Avg,English % Met,Math Avg,Math % Met,Reading Avg,Reading % Met,Science Avg,Science % Met,All % Met,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
OZARK MOUNTAIN SCHOOL DISTRICT,BRUNO-PYATT K-12 SCHOOL,9,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,Arkansas,36.1807031,-92.8497424,4754 Arkansas 125,72633,Marion County,Everton,5089,"4754 Arkansas 125, Everton, Arkansas, 72633",960100,5089960100,2021,960100,Marion County,Arkansas,225,21,58,127,19,3121,237,225,1065,829,300,275,190,9.3,25.8,56.4,8.4,7.6,7.2,34.1,26.6,9.6,8.8,6.1,1854,41624,55206,3884,155,4,3729,96,3630,93.5,0,0,0,0,16,0.4,0,0,0,0,83,2.1,,
FORT SMITH SCHOOL DISTRICT,BELLE POINT ALTERNATIVE CENTER,4,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,Arkansas,35.3729158,-94.4172264,1501 Dodson Avenue,72901,Sebastian County,Fort Smith,5131,"1501 Dodson Avenue, Fort Smith, Arkansas, 72901",800,5131000800,2021,800,Sebastian County,Arkansas,532,61,158,302,11,2953,120,568,1026,683,100,252,204,11.5,29.7,56.8,2.1,4.1,19.2,34.7,23.1,3.4,8.5,6.9,1946,28065,53007,4430,961,21.7,3469,78.3,2509,56.6,441,10,54,1.2,47,1.1,0,0,0,0,418,9.4,,
FORT SMITH SCHOOL DISTRICT,NORTHSIDE HIGH SCHOOL,399,16.7,38.10%,17.2,15.30%,17.8,26.10%,18,16.80%,8.50%,Arkansas,35.3783893,-94.4056193,North 25th Street,72901,Sebastian County,Fort Smith,5131,"North 25th Street, Fort Smith, Arkansas, 72901",800,5131000800,2021,800,Sebastian County,Arkansas,532,61,158,302,11,2953,120,568,1026,683,100,252,204,11.5,29.7,56.8,2.1,4.1,19.2,34.7,23.1,3.4,8.5,6.9,1946,28065,53007,4430,961,21.7,3469,78.3,2509,56.6,441,10,54,1.2,47,1.1,0,0,0,0,418,9.4,17.2,17.8
FORT SMITH SCHOOL DISTRICT,SOUTHSIDE HIGH SCHOOL,330,19.5,57.30%,18.9,25.20%,20.4,40.90%,20,29.70%,17.60%,Arkansas,35.3487722,-94.3875396,4100 Gary Street,72903,Sebastian County,Fort Smith,5131,"4100 Gary Street, Fort Smith, Arkansas, 72903",1102,5131001102,2021,1102,Sebastian County,Arkansas,348,95,144,94,15,2253,133,84,659,512,184,444,237,27.3,41.4,27,4.3,5.9,3.7,29.2,22.7,8.2,19.7,10.5,1412,53893,69113,3322,603,18.2,2719,81.8,1982,59.7,264,7.9,30,0.9,133,4,0,0,0,0,310,9.3,18.9,20.4
GREENWOOD SCHOOL DISTRICT,GREENWOOD HIGH SCHOOL,259,20.8,68.00%,20.3,39.80%,20.6,41.30%,20.6,33.20%,22.80%,Arkansas,35.2198584,-94.2522473,501 Bulldog Loop,72936,Sebastian County,Greenwood,5131,"501 Bulldog Loop, Greenwood, Arkansas, 72936",10201,5131010201,2021,10201,Sebastian County,Arkansas,394,0,179,215,0,3421,60,261,1027,883,307,553,330,0,45.4,54.6,0,1.8,7.6,30,25.8,9,16.2,9.6,2034,57054,66818,4996,23,0.5,4973,99.5,4867,97.4,8,0.2,21,0.4,0,0,0,0,0,0,77,1.5,20.3,20.6
HACKETT SCHOOL DISTRICT,HACKETT HIGH SCHOOL,37,17.9,43.20%,17.2,10.80%,19.6,37.80%,18.5,16.20%,10.80%,Arkansas,35.1866287,-94.4092473,102 North Oak Street,72937,Sebastian County,Hackett,5131,"102 North Oak Street, Hackett, Arkansas, 72937",10301,5131010301,2021,10301,Sebastian County,Arkansas,370,74,130,149,17,4504,161,511,1476,1063,328,556,409,20,35.1,40.3,4.6,3.6,11.3,32.8,23.6,7.3,12.3,9.1,2444,58182,83673,6007,343,5.7,5664,94.3,5149,85.7,78,1.3,23,0.4,69,1.1,0,0,0,0,345,5.7,17.2,19.6
LAVACA SCHOOL DISTRICT,LAVACA HIGH SCHOOL,47,16.7,38.30%,17,10.60%,17,25.50%,17.1,12.80%,8.50%,Arkansas,35.3318303,-94.1752146,311 West Holly Street,72941,Sebastian County,Lavaca,5131,"311 West Holly Street, Lavaca, Arkansas, 72941",10101,5131010101,2021,10101,Sebastian County,Arkansas,579,110,311,146,12,3965,371,331,1279,964,304,475,241,19,53.7,25.2,2.1,9.4,8.3,32.3,24.3,7.7,12,6.1,2353,58389,75261,6073,179,2.9,5894,97.1,5636,92.8,41,0.7,21,0.3,2,0,0,0,0,0,194,3.2,17,17
MANSFIELD SCHOOL DISTRICT,MANSFIELD HIGH SCHOOL,45,16.4,48.90%,17.3,17.80%,17.7,26.70%,17.7,8.90%,4.40%,Arkansas,35.0679629,-94.222523,2500 U.S. 71,72944,Scott County,Mansfield,5127,"2500 U.S. 71, Mansfield, Arkansas, 72944",950100,5127950100,2021,950100,Scott County,Arkansas,197,35,78,56,28,2799,125,293,1273,655,227,188,38,17.8,39.6,28.4,14.2,4.5,10.5,45.5,23.4,8.1,6.7,1.4,1483,46619,60904,3853,0,0,3853,100,3569,92.6,0,0,30,0.8,0,0,0,0,0,0,254,6.6,17.3,17.7
FUTURE SCHOOL OF FORT SMITH,FUTURE SCHOOL OF FORT SMITH,64,15.8,34.40%,15.6,3.10%,17.3,23.40%,16.3,7.80%,1.60%,Arkansas,35.3914905,-94.4193372,622 North 7th Street,72901,Sebastian County,Fort Smith,5131,"622 North 7th Street, Fort Smith, Arkansas, 72901",300,5131000300,2021,300,Sebastian County,Arkansas,225,43,85,97,0,1562,248,125,593,313,43,125,115,19.1,37.8,43.1,0,15.9,8,38,20,2.8,8,7.4,846,37500,50041,2315,909,39.3,1406,60.7,905,39.1,236,10.2,4,0.2,30,1.3,0,0,3,0.1,228,9.8,15.6,17.3
DEQUEEN SCHOOL DISTRICT,DEQUEEN HIGH SCHOOL,159,16.8,42.80%,17.1,12.60%,17.3,20.80%,18.1,13.80%,6.30%,Arkansas,34.028774,-94.358886,1803 West Coulter Drive,71832,Sevier County,De Queen,5133,"1803 West Coulter Drive, De Queen, Arkansas, 71832",80200,5133080200,2021,80200,Sevier County,Arkansas,249,4,86,159,0,2574,257,274,802,632,233,263,113,1.6,34.5,63.9,0,10,10.6,31.2,24.6,9.1,10.2,4.4,1334,49941,82265,3825,1163,30.4,2662,69.6,2413,63.1,42,1.1,93,2.4,26,0.7,0,0,7,0.2,81,2.1,17.1,17.3
HORATIO SCHOOL DISTRICT,HORATIO HIGH SCHOOL,40,14,22.50%,15.8,2.50%,16.3,12.50%,16.4,10.00%,2.50%,Arkansas,33.9479754,-94.347479,1101 Metcalf Lane,71842,Sevier County,Horatio,5133,"1101 Metcalf Lane, Horatio, Arkansas, 71842",80200,5133080200,2021,80200,Sevier County,Arkansas,249,4,86,159,0,2574,257,274,802,632,233,263,113,1.6,34.5,63.9,0,10,10.6,31.2,24.6,9.1,10.2,4.4,1334,49941,82265,3825,1163,30.4,2662,69.6,2413,63.1,42,1.1,93,2.4,26,0.7,0,0,7,0.2,81,2.1,15.8,16.3
CAVE CITY SCHOOL DISTRICT,CAVE CITY HIGH CAREER & COLLEGIATE PREPARATORY SCH,71,18.3,49.30%,18,19.70%,18.4,25.40%,18.9,26.80%,11.30%,Arkansas,35.9486873,-91.5596117,,N/A,Sharp County,N/A,5135,,470402,5135470402,2021,470402,Sharp County,Arkansas,200,18,78,102,2,1949,252,370,751,312,108,139,17,9,39,51,1,12.9,19,38.5,16,5.5,7.1,0.9,997,39471,46070,2862,111,3.9,2751,96.1,2655,92.8,4,0.1,1,0,0,0,0,0,0,0,91,3.2,18,18.4
HIGHLAND SCHOOL DISTRICT,HIGHLAND HIGH SCHOOL,91,16.8,41.80%,17.7,17.60%,18.4,28.60%,17.4,17.60%,14.30%,Arkansas,36.2617891,-91.5314326,1 Rebel Circle,72542,Sharp County,Highland,5135,"1 Rebel Circle, Highland, Arkansas, 72542",470202,5135470202,2021,470202,Sharp County,Arkansas,216,16,85,115,0,2083,47,215,774,482,147,314,104,7.4,39.4,53.2,0,2.3,10.3,37.2,23.1,7.1,15.1,5,1174,32019,46470,2928,44,1.5,2884,98.5,2709,92.5,0,0,0,0,0,0,0,0,0,0,175,6,17.7,18.4
MOUNTAIN VIEW SCHOOL DISTRICT,MOUNTAIN VIEW HIGH SCHOOL,82,18.3,52.40%,17.5,15.90%,19,32.90%,18.7,22.00%,9.80%,Arkansas,35.8602104,-92.084938,210 High School Drive,72560,Stone County,Mountain View,5137,"210 High School Drive, Mountain View, Arkansas, 72560",950204,5137950204,2021,950204,Stone County,Arkansas,176,0,57,119,0,3177,112,373,1188,673,391,308,132,0,32.4,67.6,0,3.5,11.7,37.4,21.2,12.3,9.7,4.2,1676,26792,42712,4096,5,0.1,4091,99.9,3872,94.5,15,0.4,0,0,0,0,0,0,0,0,204,5,17.5,19
MOUNTAIN VIEW SCHOOL DISTRICT,RURAL SPECIAL HIGH SCHOOL,17,19.6,64.70%,16.6,0.00%,18.3,17.60%,18.2,11.80%,0.00%,Arkansas,35.7542959,-92.2879692,13237 Arkansas 263,72051,Stone County,Fox,5137,"13237 Arkansas 263, Fox, Arkansas, 72051",950100,5137950100,2021,950100,Stone County,Arkansas,348,60,154,94,40,3062,198,380,979,750,347,289,119,17.2,44.3,27,11.5,6.5,12.4,32,24.5,11.3,9.4,3.9,1504,43667,50609,4488,2,0,4486,100,4195,93.5,0,0,37,0.8,22,0.5,0,0,0,0,232,5.2,16.6,18.3
MOUNTAIN VIEW SCHOOL DISTRICT,TIMBO HIGH SCHOOL,9,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,Arkansas,35.8743453,-92.3177396,23747 Arkansas 263,72680,Stone County,Timbo,5137,"23747 Arkansas 263, Timbo, Arkansas, 72680",950100,5137950100,2021,950100,Stone County,Arkansas,348,60,154,94,40,3062,198,380,979,750,347,289,119,17.2,44.3,27,11.5,6.5,12.4,32,24.5,11.3,9.4,3.9,1504,43667,50609,4488,2,0,4486,100,4195,93.5,0,0,37,0.8,22,0.5,0,0,0,0,232,5.2,,
EL DORADO SCHOOL DISTRICT,EL DORADO HIGH SCHOOL,264,15.9,29.20%,16.8,12.50%,17.2,22.30%,17.8,18.20%,9.10%,Arkansas,33.1998926,-92.6937606,2000 Wildcat Drive,71730,Union County,El Dorado,5139,"2000 Wildcat Drive, El Dorado, Arkansas, 71730",950900,5139950900,2021,950900,Union County,Arkansas,174,61,110,0,3,1339,15,143,728,261,35,137,20,35.1,63.2,0,1.7,1.1,10.7,54.4,19.5,2.6,10.2,1.5,795,29904,37776,2485,50,2,2435,98,430,17.3,1977,79.6,0,0,0,0,0,0,0,0,28,1.1,16.8,17.2
JUNCTION CITY SCHOOL DISTRICT,JUNCTION CITY HIGH SCHOOL,48,14.8,20.80%,16,4.20%,15.8,16.70%,16.7,6.30%,4.20%,Arkansas,33.0202734,-92.7282967,538 North Elm Street,71749,Union County,Junction City,5139,"538 North Elm Street, Junction City, Arkansas, 71749",950402,5139950402,2021,950402,Union County,Arkansas,160,1,98,61,0,2563,71,242,932,546,159,498,115,0.6,61.3,38.1,0,2.8,9.4,36.4,21.3,6.2,19.4,4.5,1430,56474,72145,3565,148,4.2,3417,95.8,2472,69.3,897,25.2,6,0.2,0,0,0,0,0,0,42,1.2,16,15.8
PARKERS CHAPEL SCHOOL DISTRICT,PARKERS CHAPEL HIGH SCHOOL,44,18,50.00%,17.6,18.20%,17.8,27.30%,18,15.90%,11.40%,Arkansas,33.1690169,-92.7215989,209 Parkers Chapel Road,71730,Union County,El Dorado,5139,"209 Parkers Chapel Road, El Dorado, Arkansas, 71730",950501,5139950501,2021,950501,Union County,Arkansas,186,13,75,46,52,2153,51,156,652,699,232,255,108,7,40.3,24.7,28,2.4,7.2,30.3,32.5,10.8,11.8,5,1321,75382,97531,3137,142,4.5,2995,95.5,2761,88,56,1.8,117,3.7,0,0,0,0,22,0.7,39,1.2,17.6,17.8
SMACKOVER-NORPHLET SCHOOL DISTRICT,SMACKOVER HIGH SCHOOL,80,16.9,38.80%,16.5,12.50%,17,20.00%,17.8,20.00%,5.00%,Arkansas,33.3656761,-92.7313276,1 Buckaroo Lane,71762,Union County,Smackover,5139,"1 Buckaroo Lane, Smackover, Arkansas, 71762",950300,5139950300,2021,950300,Union County,Arkansas,179,21,9,81,68,1859,43,88,791,471,75,207,184,11.7,5,45.3,38,2.3,4.7,42.5,25.3,4,11.1,9.9,990,55833,66243,2521,0,0,2521,100,1797,71.3,709,28.1,0,0,0,0,0,0,0,0,15,0.6,16.5,17
STRONG-HUTTIG SCHOOL DISTRICT,STRONG-HUTTIG SCHOOLS,22,11.7,0.00%,14.5,0.00%,13.7,0.00%,14.2,4.50%,0.00%,Arkansas,33.1019992,-92.341887,,N/A,Union County,N/A,5139,,950100,5139950100,2021,950100,Union County,Arkansas,36,0,14,22,0,2416,36,198,1211,593,141,164,73,0,38.9,61.1,0,1.5,8.2,50.1,24.5,5.8,6.8,3,1274,34646,58384,3028,4,0.1,3024,99.9,1407,46.5,1533,50.6,3,0.1,75,2.5,0,0,0,0,6,0.2,14.5,13.7
CLINTON SCHOOL DISTRICT,CLINTON HIGH SCHOOL,80,17.5,42.50%,18.4,18.80%,19.5,40.00%,19.7,23.80%,11.30%,Arkansas,35.5837245,-92.4999918,,N/A,Van Buren County,N/A,5141,,460200,5141460200,2021,460200,Van Buren County,Arkansas,253,55,115,70,13,2328,102,256,1154,458,144,127,87,21.7,45.5,27.7,5.1,4.4,11,49.6,19.7,6.2,5.5,3.7,1362,36474,44906,3416,309,9,3107,91,3081,90.2,9,0.3,13,0.4,0,0,0,0,0,0,4,0.1,18.4,19.5
SHIRLEY SCHOOL DISTRICT,SHIRLEY HIGH SCHOOL,7,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,Arkansas,35.652848,-92.3221622,,N/A,Van Buren County,N/A,5141,,460100,5141460100,2021,460100,Van Buren County,Arkansas,244,0,166,52,26,2402,290,367,950,380,140,200,75,0,68,21.3,10.7,12.1,15.3,39.6,15.8,5.8,8.3,3.1,1358,37050,46747,3527,49,1.4,3478,98.6,3437,97.4,24,0.7,0,0,6,0.2,0,0,0,0,11,0.3,,
SOUTH SIDE SCHOOL DISTRICT (VANBUREN),SOUTH SIDE HIGH SCHOOL,33,18.4,60.60%,18.6,18.20%,18.4,24.20%,19.2,24.20%,12.10%,Arkansas,35.4286139,-92.3885454,334 Southside Road,72013,Van Buren County,Bee Branch,5141,"334 Southside Road, Bee Branch, Arkansas, 72013",460400,5141460400,2021,460400,Van Buren County,Arkansas,174,17,93,51,13,2819,107,289,1315,525,145,260,178,9.8,53.4,29.3,7.5,3.8,10.3,46.6,18.6,5.1,9.2,6.3,1601,43521,57322,3766,23,0.6,3743,99.4,3381,89.8,50,1.3,81,2.2,0,0,0,0,0,0,231,6.1,18.6,18.4
ELKINS SCHOOL DISTRICT,ELKINS HIGH SCHOOL,76,17,44.70%,17.1,11.80%,18.4,30.30%,18.7,22.40%,5.30%,Arkansas,36.0042193,-94.014391,259 Carrigan Road,72727,Washington County,Elkins,5143,"259 Carrigan Road, Elkins, Arkansas, 72727",11106,5143011106,2021,11106,Washington County,Arkansas,247,16,99,113,19,2482,86,94,955,542,202,411,192,6.5,40.1,45.7,7.7,3.5,3.8,38.5,21.8,8.1,16.6,7.7,1306,70270,80289,3748,450,12,3298,88,3177,84.8,0,0,41,1.1,0,0,0,0,0,0,80,2.1,17.1,18.4
FARMINGTON SCHOOL DISTRICT,FARMINGTON HIGH SCHOOL,171,18.6,50.30%,18.8,25.10%,19.7,36.80%,19.8,32.20%,19.90%,Arkansas,36.026242,-94.24674,12327 Arkansas 170,72730,Washington County,Farmington,5143,"12327 Arkansas 170, Farmington, Arkansas, 72730",11006,5143011006,2021,11006,Washington County,Arkansas,440,144,136,144,16,3921,42,174,1224,1002,257,884,338,32.7,30.9,32.7,3.6,1.1,4.4,31.2,25.6,6.6,22.5,8.6,2173,69013,84469,6003,16,0.3,5987,99.7,5382,89.7,79,1.3,72,1.2,77,1.3,0,0,0,0,377,6.3,18.8,19.7
FAYETTEVILLE SCHOOL DISTRICT,FAYETTEVILLE HIGH SCHOOL,453,21.1,65.10%,20.5,39.30%,21.8,49.90%,21,40.00%,28.90%,Arkansas,36.0578962,-94.1741336,994 Martin Luther King Junior Boulevard,72701,Washington County,Fayetteville,5143,"994 Martin Luther King Junior Boulevard, Fayetteville, Arkansas, 72701",11301,5143011301,2021,11301,Washington County,Arkansas,5571,0,632,4893,46,429,15,0,102,144,0,114,54,0,11.3,87.8,0.8,3.5,0,23.8,33.6,0,26.6,12.6,749,28101,42895,6036,138,2.3,5898,97.7,4470,74.1,708,11.7,106,1.8,294,4.9,17,0.3,0,0,303,5,20.5,21.8
FAYETTEVILLE SCHOOL DISTRICT,AGEE LIERLY LIFE PREPARATION SERVICES SCHOOL,40,13.8,20.00%,15,2.50%,14.5,7.50%,15,0.00%,0.00%,Arkansas,36.0849702,-94.0899911,,N/A,Washington County,N/A,5143,,10113,5143010113,2021,10113,Washington County,Arkansas,449,84,227,35,103,4912,135,111,949,698,251,1797,971,18.7,50.6,7.8,22.9,2.7,2.3,19.3,14.2,5.1,36.6,19.8,2804,82903,132304,7667,685,8.9,6982,91.1,6371,83.1,146,1.9,21,0.3,164,2.1,35,0.5,0,0,245,3.2,15,14.5
FAYETTEVILLE SCHOOL DISTRICT,FAYETTEVILLE VIRTUAL ACADEMY A DISTRICT CONVERSION,11,25.4,100.00%,21.5,54.50%,25.8,81.80%,22.6,63.60%,45.50%,Arkansas,36.0579721,-94.1327105,300 South Ray Avenue,72701,Washington County,Fayetteville,5143,"300 South Ray Avenue, Fayetteville, Arkansas, 72701",10110,5143010110,2021,10110,Washington County,Arkansas,846,90,208,375,173,2681,54,50,295,532,150,794,806,10.6,24.6,44.3,20.4,2,1.9,11,19.8,5.6,29.6,30.1,2178,47500,96296,4415,151,3.4,4264,96.6,3753,85,307,7,0,0,62,1.4,0,0,0,0,142,3.2,21.5,25.8
GREENLAND SCHOOL DISTRICT,GREENLAND HIGH SCHOOL,30,15.8,26.70%,16.4,6.70%,17.5,26.70%,17.3,10.00%,3.30%,Arkansas,35.9940458,-94.1724213,30 North Sandy Avenue,72737,Washington County,Greenland,5143,"30 North Sandy Avenue, Greenland, Arkansas, 72737",11105,5143011105,2021,11105,Washington County,Arkansas,1999,124,405,1353,117,1940,55,132,810,399,71,332,141,6.2,20.3,67.7,5.9,2.8,6.8,41.8,20.6,3.7,17.1,7.3,1455,36522,49327,4677,533,11.4,4144,88.6,3484,74.5,402,8.6,13,0.3,112,2.4,17,0.4,0,0,116,2.5,16.4,17.5
LINCOLN SCHOOL DISTRICT,LINCOLN HIGH SCHOOL,64,16.9,45.30%,17.2,14.10%,18.3,28.10%,18.7,17.20%,9.40%,Arkansas,35.9468219,-94.4051173,1392 East Pridemore Drive,72744,Washington County,Lincoln,5143,"1392 East Pridemore Drive, Lincoln, Arkansas, 72744",11002,5143011002,2021,11002,Washington County,Arkansas,465,238,121,97,9,3641,140,274,1757,535,359,406,170,51.2,26,20.9,1.9,3.8,7.5,48.3,14.7,9.9,11.2,4.7,2064,47153,58729,5629,236,4.2,5393,95.8,4459,79.2,11,0.2,83,1.5,102,1.8,0,0,34,0.6,704,12.5,17.2,18.3
PRAIRIE GROVE SCHOOL DISTRICT,PRAIRIE GROVE HIGH SCHOOL,119,19.7,59.70%,18.8,27.70%,19.4,37.00%,19.5,26.90%,19.30%,Arkansas,35.9815764,-94.3244138,500 Cole Drive,72753,Washington County,Prairie Grove,5143,"500 Cole Drive, Prairie Grove, Arkansas, 72753",10514,5143010514,2021,10514,Washington County,Arkansas,193,0,80,100,13,2256,71,73,653,840,181,268,170,0,41.5,51.8,6.7,3.1,3.2,28.9,37.2,8,11.9,7.5,1160,68120,84589,3366,225,6.7,3141,93.3,2666,79.2,0,0,0,0,0,0,0,0,0,0,475,14.1,18.8,19.4
SPRINGDALE SCHOOL DISTRICT,SPRINGDALE HIGH SCHOOL,396,15.1,27.80%,16.7,10.90%,15.5,12.60%,16.9,10.10%,3.80%,Arkansas,36.1850807,-94.1421577,101 South Pleasant Street,72764,Washington County,Springdale,5143,"101 South Pleasant Street, Springdale, Arkansas, 72764",10402,5143010402,2021,10402,Washington County,Arkansas,566,23,231,295,17,3343,280,401,978,1019,143,378,144,4.1,40.8,52.1,3,8.4,12,29.3,30.5,4.3,11.3,4.3,1715,55424,75124,5310,1722,32.4,3588,67.6,2585,48.7,2,0,0,0,7,0.1,443,8.3,210,4,341,6.4,16.7,15.5
SPRINGDALE SCHOOL DISTRICT,HAR-BER HIGH SCHOOL,472,18.7,55.30%,19.1,28.20%,19.5,34.70%,19.7,30.30%,18.90%,Arkansas,36.1842731,-94.2130412,300 Jones Road,72762,Washington County,Springdale,5143,"300 Jones Road, Springdale, Arkansas, 72762",10518,5143010518,2021,10518,Washington County,Arkansas,304,55,119,108,22,2652,142,77,674,331,167,697,564,18.1,39.1,35.5,7.2,5.4,2.9,25.4,12.5,6.3,26.3,21.3,1409,81447,143711,3964,545,13.7,3419,86.3,2872,72.5,7,0.2,40,1,119,3,106,2.7,2,0.1,273,6.9,19.1,19.5
SPRINGDALE SCHOOL DISTRICT,DON TYSON SCHOOL OF INNOVATION,267,16.9,40.80%,17.4,13.50%,18.3,29.20%,18.6,23.20%,9.00%,Arkansas,36.1601029,-94.0845611,2667 Hylton Road,72764,Washington County,Springdale,5143,"2667 Hylton Road, Springdale, Arkansas, 72764",10109,5143010109,2021,10109,Washington County,Arkansas,51,0,36,15,0,1922,24,134,750,373,113,250,278,0,70.6,29.4,0,1.2,7,39,19.4,5.9,13,14.5,966,86356,99191,2676,12,0.4,2664,99.6,2415,90.2,3,0.1,117,4.4,0,0,0,0,0,0,129,4.8,17.4,18.3
WEST FORK SCHOOL DISTRICT,WEST FORK HIGH SCHOOL,75,18.8,54.70%,17.3,16.00%,19.5,37.30%,19.4,24.00%,9.30%,Arkansas,35.9216443,-94.1916196,359 School Avenue,72774,Washington County,West Fork,5143,"359 School Avenue, West Fork, Arkansas, 72774",11003,5143011003,2021,11003,Washington County,Arkansas,444,29,331,43,41,3639,77,272,1605,778,170,412,325,6.5,74.5,9.7,9.2,2.1,7.5,44.1,21.4,4.7,11.3,8.9,1956,70469,76180,5258,97,1.8,5161,98.2,4932,93.8,2,0,44,0.8,0,0,0,0,0,0,183,3.5,17.3,19.5
HAAS HALL ACADEMY,HAAS HALL ACADEMY,71,26.2,90.10%,24.3,70.40%,25.7,76.10%,23.9,62.00%,50.70%,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2021,71001,White County,Arkansas,82,6,76,0,0,2769,24,167,1384,429,153,495,117,7.3,92.7,0,0,0.9,6,50,15.5,5.5,17.9,4.2,1374,53520,85378,3407,125,3.7,3282,96.3,3073,90.2,50,1.5,32,0.9,0,0,0,0,0,0,127,3.7,24.3,25.7
HAAS HALL ACADEMY,HAAS HALL ACADEMY JONES CENTER,32,23.2,84.40%,21.3,53.10%,24.2,65.60%,21.4,46.90%,37.50%,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2021,71001,White County,Arkansas,82,6,76,0,0,2769,24,167,1384,429,153,495,117,7.3,92.7,0,0,0.9,6,50,15.5,5.5,17.9,4.2,1374,53520,85378,3407,125,3.7,3282,96.3,3073,90.2,50,1.5,32,0.9,0,0,0,0,0,0,127,3.7,21.3,24.2
HAAS HALL ACADEMY,HAAS HALL ACADEMY AT THE LANE,36,26.3,91.70%,23.8,61.10%,27,86.10%,24.8,75.00%,55.60%,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2021,71001,White County,Arkansas,82,6,76,0,0,2769,24,167,1384,429,153,495,117,7.3,92.7,0,0,0.9,6,50,15.5,5.5,17.9,4.2,1374,53520,85378,3407,125,3.7,3282,96.3,3073,90.2,50,1.5,32,0.9,0,0,0,0,0,0,127,3.7,23.8,27
HAAS HALL ACADEMY,HAAS HALL BENTONVILLE,51,25.9,94.10%,24.6,66.70%,25.2,68.60%,23.7,58.80%,51.00%,Arkansas,36.3444024,-94.1981489,2600 Southeast J Street,72712,Benton County,Bentonville,5007,"2600 Southeast J Street, Bentonville, Arkansas, 72712",20503,5007020503,2021,20503,Benton County,Arkansas,480,96,221,117,46,2512,23,149,581,485,127,732,415,20,46,24.4,9.6,0.9,5.9,23.1,19.3,5.1,29.1,16.5,1804,63152,67349,4148,692,16.7,3456,83.3,1672,40.3,177,4.3,9,0.2,1100,26.5,131,3.2,0,0,367,8.8,24.6,25.2
BALD KNOB SCHOOL DISTRICT,BALD KNOB HIGH SCHOOL,74,17.3,40.50%,16.7,6.80%,17.7,25.70%,17.3,10.80%,2.70%,Arkansas,35.3168149,-91.5718281,901 North Hickory Street,72010,White County,Bald Knob,5145,"901 North Hickory Street, Bald Knob, Arkansas, 72010",70600,5145070600,2021,70600,White County,Arkansas,353,124,145,76,8,2453,111,271,1184,397,185,207,98,35.1,41.1,21.5,2.3,4.5,11,48.3,16.2,7.5,8.4,4,1426,42813,54225,3746,183,4.9,3563,95.1,3424,91.4,41,1.1,4,0.1,0,0,0,0,6,0.2,88,2.3,16.7,17.7
BEEBE SCHOOL DISTRICT,BEEBE HIGH SCHOOL,194,18.7,52.60%,19.1,30.40%,19.2,33.00%,19.6,24.70%,18.60%,Arkansas,35.0642972,-91.8927462,1201 West Center Street,72012,White County,Beebe,5145,"1201 West Center Street, Beebe, Arkansas, 72012",71202,5145071202,2021,71202,White County,Arkansas,352,38,198,116,0,3311,127,161,1231,832,429,411,120,10.8,56.3,33,0,3.8,4.9,37.2,25.1,13,12.4,3.6,1972,44477,58599,5403,166,3.1,5237,96.9,4626,85.6,241,4.5,0,0,99,1.8,0,0,0,0,271,5,19.1,19.2
